Modelo,Valor,Local
iPhone 11,R$ 2000,Fortaleza Varjota
iPhone 11 128gb,R$ 2000,Fortaleza Messejana
iPhone XR 128g,R$ 2000,Fortaleza Jardim Iracema
iPhone XR transformado no 13 pro ,R$ 2000,Fortaleza Conjunto Ceará I
iPhone XS Max 64gb,R$ 2000,Caucaia São Miguel (Jurema)
iPhone XR 64GB semi novo ,R$ 2000,Fortaleza Centro
iPhone 11 64GB sem marcas de uso ,R$ 2099,Maracanaú Distrito Ind Iii
iPhone 11 ,R$ 2100,Fortaleza Papicu
IPHONE 11 64GB ,R$ 2100,Fortaleza Centro
IPHONE XR,R$ 2100,Fortaleza Rodolfo Teófilo
Iphone xr,R$ 2100,Fortaleza Cajazeiras
iPhone XR na carcaça do 14 pro ,R$ 2100,Fortaleza Aldeota
iPhone 11 (Semi novo),R$ 2100,Fortaleza Dionisio Torres
IPHONE 11 - 64GB - Promoção dia das Mães,R$ 2100,Caucaia Nova Metrópole (Jurema)
iPhone 11 64gb perfeito,R$ 2150,Fortaleza Passaré
iPhone 11 219999,R$ 2199,Caucaia Marechal Rondon (Jurema)
iPhone 11 64gb semi novos Impecáveis com Garantia,R$ 2199,Fortaleza Aldeota
VENDO IPHONE 11 ,R$ 2200,Fortaleza Vila Velha
iPhone XR ,R$ 2200,Fortaleza Barra do Ceará
Iphone 11,R$ 2200,Fortaleza Paupina
IPHONE XS MAX 64 GB,R$ 2200,Fortaleza Quintino Cunha
iPhone 11 128 gigas ,R$ 2200,Fortaleza Barra do Ceará
iPhone 11,R$ 2250,Fortaleza Henrique Jorge
iPhone 11 64 gb ,R$ 2250,Caucaia Pacheco
iPhone 11 64g impecável ,R$ 2300,Fortaleza Conjunto Ceará II
IPhone 12 mini 64gb,R$ 2390,Fortaleza Bela Vista
iPhone 11 Preto ,R$ 2400,Fortaleza Parquelândia
iPhone 11 64g tudo funcionando ,R$ 2450,Maracanaú Industrial
iPhone 11 64GB (COM GARANTIA ),R$ 2499,Eusébio Tamatanduba
iPhone 12,R$ 2500,Fortaleza Cocó
iPhone 11 branco,R$ 2500,Fortaleza João XXIII
iPhone 11 64GB - Completo com caixa,R$ 2500,Fortaleza Meireles
iPhone 11 128GB Original nunca aberto Não compre 64GB ,R$ 2500,Fortaleza Meireles
iPhone 11 64gb,R$ 2500,Fortaleza Cristo Redentor
Iphone 11 64GB,R$ 2500,Caucaia Tabapuá
iPhone 11,R$ 2500,Maracanaú Novo Maracanaú
iPhone 11 128gb,R$ 2500,Fortaleza Carlito Pamplona
iPhone 11 Black 64gb Impecável garantia 6 meses ,R$ 2599,Maracanaú Centro
iPhone 11pro ,R$ 2600,Maracanaú Timbó
IPHONE 12 MINI 128 gb,R$ 2600,Fortaleza Jardim Cearense
iPhone 11 Pro ,R$ 2600,Fortaleza São Gerardo
Iphone 11 red 64gb,R$ 2600,Fortaleza Manoel Sátiro
iPhone 11 256gb Black,R$ 2699,Fortaleza Papicu
IPHONE 11 128 GB,R$ 2700,Fortaleza Quintino Cunha
IPhone 11 PRO MAX 64gb ,R$ 2700,Fortaleza Vila Velha
Iphone 11 - 128GB,R$ 2700,Fortaleza Montese
iPhone 11 Pro Max 2600,R$ 2700,Fortaleza Siqueira
iPhone 11 256gb branco ,R$ 2750,Fortaleza Aldeota
iPhone 11 Pro 256gb,R$ 2799,Aquiraz
IPhone 11 64gb,R$ 2800,Fortaleza Bela Vista
iPhone 11 verde 128 gb,R$ 2850,Fortaleza Papicu
iPhone 11 Pro a partir de R$2899 ou 10xR$322,R$ 2899,Fortaleza Edson Queiroz
iPhone 11 Pro Max 64g,R$ 2900,Fortaleza Centro
iPhone 11 Pro Max ,R$ 2900,Fortaleza Messejana
iPhone 11 Pro 512gb,R$ 2999,Aquiraz
iPhone SE 1ª Geração ,R$ 300,Fortaleza Fátima
iPhone 6 128gb,R$ 300,Fortaleza Vicente Pinzon
iPhone 11 Pro 64gb,R$ 3000,Fortaleza Jacarecanga
Iphone 11 Pró - 64g,R$ 3000,Fortaleza Vicente Pinzon
iPhone 11 Pro 64g,R$ 3000,Caucaia Arianópolis (Jurema)
Iphone 11 pro,R$ 3000,Eusébio Cararu
iPhone 12(ATENÇÃO),R$ 3000,Pacajus
iPhone 12 Braco 64 Gb,R$ 3000,Fortaleza Aldeota
Iphone 12 128gb,R$ 3099,Fortaleza Edson Queiroz
iPhone 12 128gb,R$ 3099,Aquiraz
iPhone 11 Pro Max 64GB,R$ 3100,Fortaleza Prefeito José Walter
iPhone 11 PRO 64 gb ,R$ 3100,Maracanaú Jardim Bandeirantes
iPhone 12,R$ 3100,Fortaleza Barra do Ceará
iPhone 11 Pro Max 64gb Impecável Garantia 6 meses ,R$ 3299,Maracanaú Centro
iPhone 12,R$ 3299,Aquiraz
iphone 12 128 zerado!!!,R$ 3300,Fortaleza Cambeba
VENDO IPHONE 11 PRO MAX 256 GB,R$ 3350,Fortaleza Salinas
iPhone 11 Pro Max 64gb TODO ORIGINAL ,R$ 3399,Maracanaú Luzardo Viana
iPhone 11 PRO MAX 256gb,R$ 3400,Fortaleza Manuel Dias Branco
iPhone 11 Pro Max ,R$ 3400,Caucaia Iparana
iPhone 11 Pro Max 64GB (COM GARANTIA),R$ 3449,Eusébio Tamatanduba
iPhone 11 Pro Max 64gb ZERO garantia 6 meses ,R$ 3499,Maracanaú Centro
iPhone SE 2016 vendo ou troco em Android ,R$ 350,Caucaia Planalto Caucaia
iPhone 5s,R$ 350,Fortaleza Granja Lisboa
iPhone 12 256 GB acompanha carregador original ,R$ 3500,Fortaleza Cristo Redentor
iPhone 11 Pro Max 512G ouro ,R$ 3500,Fortaleza Parangaba
iPhone 12 64gb,R$ 3500,Caucaia Nova Metrópole (Jurema)
Vendo iPhone 12 Pro,R$ 3500,Pacatuba Senador Carlos Jereissati
Vendo iPhone semi novo 11 pro Max 256g,R$ 3700,Fortaleza Parque Dois Irmãos
iPhone 12 ,R$ 3800,Fortaleza Parque Dois Irmãos
iPhone 12 Pro Max ,R$ 3900,Fortaleza Serrinha
iPhone 13 Pró 128Gigas 88%Bateria (IMPECÁVEL DE NOVO),R$ 3999,Fortaleza Padre Andrade
iPhone 11 Pro Max 64gb TODO ORIGINAL ,R$ 3999,Maracanaú Luzardo Viana
iPhone 12 Pro Max 128gb ,R$ 3999,Fortaleza Vila Peri
iPhone 6s Plus 64 gigas bem conservado.,R$ 400,Fortaleza Jardim das Oliveiras
iPhone 11 promax 512 gigas,R$ 4000,Fortaleza Henrique Jorge
iPhone 13 Mini 256 Gb ,R$ 4000,Caucaia Padre Romualdo
iPhone 13 128gb ,R$ 4000,Fortaleza Jacarecanga
iPhone 12 pro Max 128g 87% todo original com garantia ,R$ 4100,Fortaleza Floresta
iPhone 12 Pro Max,R$ 4300,Fortaleza Boa Vista-Castelão
Iphone 12 pro max 128GB- 95% bateria,R$ 4350,Fortaleza Amadeu Furtado
iPhone 13 128GB rose (GARANTIA APPLE),R$ 4399,Eusébio Tamatanduba
iPhone 12 Pro 128gb Pacific Blue (Novíssimo com Garantia Apple),R$ 4499,Fortaleza José Bonifácio
iPhone 12 Pro Max 128gb Impecável garantia 6 meses ,R$ 4499,Maracanaú Centro
iPhone 7 Plus ,R$ 450,Fortaleza Genibaú
iPhone 6S - 32Gb,R$ 450,Fortaleza Álvaro Weyne
iPhone 6s 32Gb ,R$ 450,Caucaia Arianópolis (Jurema)
iPhone 7,R$ 450,Fortaleza Quintino Cunha
iPhone 12 Pro Max 128gb TODO ORIGINAL ,R$ 4599,Maracanaú Luzardo Viana
iPhone 6s Rose ,R$ 470,Fortaleza Parquelândia
Iphone 7 Rose ,R$ 499,Fortaleza Curió
IPHONE 6S ,R$ 500,Itaitinga
iPhone 7 Rose,R$ 500,Maranguape Novo Maranguape II
iPhone 6s Plus bem conservado funcionando tudo perfeitamente .,R$ 500,Fortaleza Jardim das Oliveiras
iPhone 7,R$ 500,Fortaleza Conjunto Ceará II
iPhone 7 ROSE,R$ 500,Maranguape Novo Maranguape II
iPhone 12 Pro Max ,R$ 5000,Fortaleza Antônio Bezerra
