Modelo,Valor,Local
VENDO IPHONE XR 64 GIGAS ,R$ 2.000,Fortaleza Meireles
iPhone XR 64Gb,R$ 1.950,Fortaleza Planalto Ayrton Senna
iPhone 8plus ,R$ 1.450,Fortaleza Quintino Cunha
IPhone 7 Rose 32Gb - Completo ,R$ 600,Fortaleza Planalto Ayrton Senna
iphone 7 plus top ,R$ 750,Fortaleza Novo Mondubim
iPhone 13 Pro Max - 256GB,R$ 5.850,Fortaleza Messejana
iPhone 7 ,R$ 700,Fortaleza Moura Brasil
iPhone 7 ,R$ 750,Fortaleza Parreão
IPhone X 64 GB Branco Novo ,R$ 2.000,Fortaleza De Lourdes
iPhone 8 64Gb,R$ 750,Fortaleza Granja Portugal
iPhone 13 Pro Max 512G,R$ 6.000,Fortaleza Jóquei Clube
Iphone 8,R$ 840,Fortaleza Carlito Pamplona
iPhone 11 128gb,R$ 2.300,Fortaleza Centro
iPhone 7,R$ 500,Pacatuba Pavuna
iPhone 13 ,R$ 4.000,Fortaleza Panamericano
iPhone 13 128gb *sem marcas de uso*,R$ 4.600,Fortaleza Cidade 2000
iPhone 7 ,R$ 550,Fortaleza Jangurussu
iPhone ,R$ 850,Redenção
iphone 8 ,R$ 800,Fortaleza Barra do Ceará
iPhone 8 Plus Rose valor negociável !!,R$ 1.400,Fortaleza Joaquim Távora
iPhone 11 Pro Max ,R$ 3.000,Fortaleza João XXIII
Iphone 7plus 128gb,R$ 1.400,Fortaleza Barra do Ceará
iPhone 12 pro Max 128g bateria 87% estado de zero,R$ 4.200,Fortaleza Floresta
iPhone 7plus - Gold,R$ 850,Fortaleza Bonsucesso
Vendo iPhone 11,R$ 2.000,Maranguape Sapupara
iPhone 11,R$ 2.350,Fortaleza Novo Mondubim
Vendo iPhone 6,R$ 400,Fortaleza Sapiranga-Coité
iPhone 7 32g ,R$ 600,Fortaleza Jardim Guanabara
iPhone 8 Plus 128gb com Nota completo,R$ 1.600,Maracanaú Timbó
iPhone 12 Pro Max ,R$ 6.000,Fortaleza Edson Queiroz
iPhone 11 128 GB,R$ 2.100,Fortaleza Cidade 2000
iPhone XR,R$ 1.600,Fortaleza Paupina
iPhone 13 - 128g top,R$ 3.999,Fortaleza Joaquim Távora
iPhone 12  64 sem marcas de uso ,R$ 3.200,Fortaleza Aldeota
iPhone 8,R$ 850,Fortaleza Aldeota
IPhone X 256gb,R$ 1.300,Fortaleza Bom Futuro
IPHONE 13 PRO MAX,R$ 5.100,Fortaleza Messejana
iPhone 11 128gb na caixa ,R$ 2.200,Fortaleza Rodolfo Teófilo
iPhone X,R$ 2.000,Maracanaú Centro
Iphone xs max 256GB,R$ 2.200,Fortaleza Jardim das Oliveiras
iPhone 8 Plus ,R$ 2.000,Fortaleza Parque Dois Irmãos
iPhone 8 funcionando tudo ,R$ 1.050,Fortaleza Granja Lisboa
IPHONE 7 PLUS ,R$ 1.100,Fortaleza Siqueira
iPhone XR 64gb,R$ 1.800,Fortaleza Quintino Cunha
iPhone 13 128gb completo ? ,R$ 3.990,Fortaleza Dom Lustosa
IPHONE 11 128GB MUITO TOP,R$ 2.600,Maracanaú Piratininga
iPhone 12 64 a Garantia 01/24,R$ 3.400,Fortaleza Dendê
iPhone 12 pro Max Gold 128GB,R$ 3.800,Fortaleza Carlito Pamplona
iPhone 8,R$ 1.200,Fortaleza Jardim das Oliveiras
iPhone 11 Pro ,R$ 3.000,Fortaleza Parque São José
iPhone 11 Pro Max 64GB vendo ou troco,R$ 3.400,Fortaleza Pedras
iPhone 12 bem conservado! ,R$ 2.850,Fortaleza Bonsucesso
iPhone XR TRANSFORMADO 14 pro Roxo,R$ 1.900,Fortaleza Cidade dos Funcionários
iPhone 11,R$ 2.700,Fortaleza Manoel Sátiro
iPhone 7plus,R$ 1.000,Pentecoste
iphone 11 64,R$ 2.750,Fortaleza Paupina
Iphone 11 seminovo,R$ 2.250,Fortaleza Ellery
iPhone 11,R$ 1.850,Fortaleza Granja Lisboa
iPhone XR 64g (LEIA A DESCRIÇÃO),R$ 1.300,Caucaia Centro
iPhone 13 ,R$ 4.200,Canindé
IPhone 7 Plus ,R$ 1.200,Fortaleza Meireles
iPhone 7 128GB,R$ 700,Fortaleza Parque Dois Irmãos
iPhone 8plus ,R$ 1.250,Fortaleza Lagoa Redonda
iPhone XR - Oportunidade Única ,R$ 1.900,Fortaleza Cocó
iPhone 11 128g,R$ 2.800,Fortaleza Meireles
iPhone 7plus 32gb ,R$ 650,Caucaia Parque Guadalajara (Jurema)
iPhone 11 64GB ,R$ 2.600,Fortaleza Cristo Redentor
iPhone 11 64gb completo absolutamente impecável ,R$ 2.850,Fortaleza Cidade dos Funcionários
iPhone 11 vermelho,R$ 2.790,Maracanaú Novo Oriente
iPhone 6,R$ 350,Fortaleza Siqueira
iPhone XR todo original ,R$ 1.600,Fortaleza Mondubim
iPhone 8,R$ 900,Fortaleza Itaperi
Iphone 11 128Gb,R$ 2.500,Fortaleza Jardim Iracema
iPhone 11 ,R$ 2.600,Fortaleza Messejana
iPhone 11 128gb Branco ,R$ 2.500,Fortaleza Bela Vista
iPhone ,R$ 1.900,Fortaleza Granja Lisboa
iPhone 11 64gb único dono (red product),R$ 2.400,Fortaleza Dionisio Torres
iPhone ,R$ 900,Fortaleza Barra do Ceará
iPhone 7 ,R$ 750,Fortaleza Aracapé
iPhone x,R$ 1.300,Fortaleza Rodolfo Teófilo
iPhone 13 Pro Max,R$ 5.499,Fortaleza Meireles
Iphone 8 plus - 64gb - muito novo,R$ 1.300,Fortaleza Itaperi
iPhone XR 64G única dona Bateria 89%,R$ 1.500,Fortaleza Genibaú
iPhone 8 muito novo bateria nova 100%,R$ 1.100,Fortaleza Papicu
iPhone 11,R$ 2.600,Fortaleza São Gerardo
iPhone XR ,R$ 1.790,Maracanaú Novo Oriente
iPhone XR,R$ 2.000,Fortaleza Olavo Oliveira
Iphone 13 Pro Estado de Novo Garantia com carregador turbo grátis,R$ 5.199,Fortaleza Cocó
Vendo IPhone 6s 128gb NÃO FAÇO ENTREGA ,R$ 430,Fortaleza Jóquei Clube
iPhone XR ,R$ 1.700,Pacatuba Senador Carlos Jereissati
iPhone 8plus 64gb brinde capinha pelicula e carregador completo entrega gratuita ,R$ 1.300,Fortaleza Antônio Bezerra
iPhone 8 Plus estado de zero,R$ 1.400,Fortaleza Jardim das Oliveiras
iPhone 7  ,R$ 650,Fortaleza Alto da Balança
IPHONE 7 - 128gb $700,R$ 700,Fortaleza Jardim Cearense
IPhone 12 Pro 512g,R$ 4.300,Maracanaú Pajuçara
iPhone 7 128 gigas rosa,R$ 900,Fortaleza Antônio Bezerra
iPhone 8 Plus ,R$ 1.350,Fortaleza Vila União
Iphone,R$ 1.800,Caucaia Açude
iPhone XR 64gb branco ,R$ 1.500,Fortaleza Edson Queiroz
Iphone 7,R$ 550,Fortaleza Sapiranga-Coité
iPhone 11 Pro Max ,R$ 3.200,Fortaleza Monte Castelo
Iphone 13 512gb Rosé,R$ 4.400,Fortaleza Aldeota
iPhone 11 128gigas ,R$ 1.900,Fortaleza Pres Kennedy
iPhone 8 plus,R$ 900,Fortaleza Serrinha
IPHONE 12 PRO MAX 256G | IMPECÁVEL | MUITO NOVO|,R$ 4.599,Fortaleza Cidade 2000
iPhone XR,R$ 2.000,Fortaleza Granja Portugal
iPhone 13 pro Max ,R$ 4.000,Pacatuba Senador Carlos Jereissati
iPhone XR 128gb ,R$ 2.000,Fortaleza Canindezinho
Iphone 6s 32gb,R$ 450,Fortaleza Parque Santa Maria
iPhone 8 Plus 64 ,R$ 1.250,Fortaleza Conjunto Ceará I
iPhone 11 2000,R$ 2.000,Caucaia Parque Potira (Jurema)
iPhone 11 256gb,R$ 2.299,Fortaleza Passaré
iPhone 7 Plus 128gb ,R$ 1.000,Fortaleza Engenheiro Luciano Cavalcante
iPhone 12 128G,R$ 3.200,Fortaleza Aldeota
iPhone 13 Pro Max Em ótimo estado,R$ 6.200,Fortaleza Antônio Bezerra
IPhone Plus 8 branco 64Gb ,R$ 1.250,Fortaleza Salinas
iPhone 12 Pro ,R$ 4.100,Fortaleza Aldeota
iPhone 6s rose ,R$ 550,Fortaleza Manoel Sátiro
iPhone 12 Pro Max Gold 128GB,R$ 4.499,Fortaleza Messejana
iPhone 13 Pro 128gb,R$ 5.800,Caucaia Cumbuco
iPhone Xr 64gb impecável + garantia e entrega grátis ?,R$ 1.600,Fortaleza Canindezinho
iPhone 12 Pro MAX 128GB c NOTA FISCAL ,R$ 4.400,Fortaleza Jóquei Clube
Vendo IPhone 11 ,R$ 2.500,Fortaleza Genibaú
Iphone Xr 64gb ,R$ 1.800,Fortaleza Jangurussu
iPhone XR ,R$ 2.150,Caucaia
Vende-se iPhone 12,R$ 2.800,Fortaleza Conjunto Ceará I
VENDO IPHONE SE 2 GERAÇÃO NOVISSIMO E TODO ORIGINAL!,R$ 1.100,Fortaleza Granja Lisboa
iPhone 7 128g vendo ou troco!,R$ 500,Fortaleza Jangurussu
IPhone X 256 GB ( Leia anúncio),R$ 1.300,Fortaleza Vila Peri
Vendo iPhone 11,R$ 2.300,Fortaleza Amadeu Furtado
iPhone 14 pro max 256GB,R$ 7.500,Fortaleza Manoel Sátiro
IPhone 11 256gb preto ,R$ 1.899,Fortaleza Aerolândia
IPhone 8 64 GB,R$ 1.300,Fortaleza Presidente Kennedy
iPhone 12 Pro max 128gb azul ,R$ 4.549,Fortaleza Aerolândia
Vendo IPhone 12 128gb,R$ 2.800,Fortaleza Barra do Ceará
Iphone 8 semi novo,R$ 900,Fortaleza Prefeito José Walter
iPhone 12 Pro Max azul 512gb por R$4599 ou 10xR$511,R$ 4.599,Fortaleza Edson Queiroz
iPhone 12 PRO 256gb completo na caixa,R$ 4.350,Fortaleza Aldeota
IPHONE XR 64 GB,R$ 1.600,Fortaleza Paupina
iPhone 11 roxo 64gb 2.000,R$ 2.000,Fortaleza Papicu
IPhone 7Plus ,R$ 1.000,Maracanaú Siqueira
iPhone 8 Plus preto 256g ,R$ 1.200,Fortaleza Genibaú
iPhone XR transformado 14 pro purb,R$ 2.000,Fortaleza Cidade dos Funcionários
iPhone 11 128gb,R$ 2.700,Fortaleza Benfica
iPhone 12 Pro 128gb,R$ 3.650,Fortaleza Parangaba
iPhone 7 silver ,R$ 700,Fortaleza Demócrito Rocha
iPhone 13 mini 128GB,R$ 4.200,Fortaleza Messejana
iPhone 11 64g,R$ 2.500,Maracanaú Jardim Bandeirantes
IPhone 6 semi novo,R$ 350,Fortaleza Barroso
iPhone X,R$ 1.000,Fortaleza Parque Santa Maria
iPhone 13 Pro Max Gold 128 GB sem detalhes,R$ 5.999,Fortaleza Joaquim Távora
iPhone 12 64g,R$ 3.000,Fortaleza Serrinha
Iphone 8 64Gb ,R$ 950,Fortaleza Dom Lustosa
iPhone 14 pro Max 128gb,R$ 6.999,Maranguape Centro
iPhone 8 Plus Black 64 ,R$ 1.500,Fortaleza Manoel Sátiro
iPhone 8 Plus 64gb todo original ,R$ 1.499,Fortaleza José de Alencar
IPhone 11 ,R$ 2.100,Fortaleza Conjunto Ceará II
iPhone 11 verde 128 gb / aceito troca com volta,R$ 2.700,Fortaleza Papicu
iPhone 11 Pro Max 64 gb,R$ 3.000,Fortaleza Engenheiro Luciano Cavalcante
IPHONE XR 128gb semi novo,R$ 1.850,Fortaleza Jardim América
iPhone 11,R$ 2.100,Fortaleza Bom Jardim
iPhone 11 64 gigas,R$ 1.800,Fortaleza Monte Castelo
iPhone SE 2020,R$ 1.500,Fortaleza Pref José Walter
iPhone 7plus 128 gb.,R$ 1.100,Caucaia Parque Leblon
iPhone 11 Pro 256gb ,R$ 3.100,Fortaleza Cajazeiras
iPhone 12 mini 64GB ,R$ 2.500,Fortaleza Mondubim
Iphone 8 Plus com assessórios ,R$ 1.300,Fortaleza Joaquim Távora
iPhone 11 128gb,R$ 2.500,Fortaleza Messejana
iPhone 12 64GB Super Novo ,R$ 3.199,Fortaleza Fátima
iPhone 11 64GB em Fortaleza ,R$ 2.300,Fortaleza Centro
iPhone XR 1600$,R$ 1.600,Fortaleza Parangaba
iPhone 7 Plus Somente VENDA,R$ 1.000,Fortaleza Jóquei Clube
Vendo iPhone 8 ,R$ 1.200,Fortaleza Canindezinho
iPhone 6 S,R$ 750,Fortaleza Jangurussu
Vendo iPhone 11 BRANCO 128GB,R$ 3.100,Fortaleza Jóquei Clube
iPhone X,R$ 1.550,Fortaleza Jangurussu
Iphone 8Plus,R$ 1.100,Fortaleza Conjunto Palmeiras
iPhone 11 Pro ,R$ 1.900,Fortaleza Henrique Jorge
Iphone 7,R$ 1.000,Caucaia Nova Metrópole (Jurema)
IPhone 11 Pro Max 64GB,R$ 3.100,Fortaleza Cidade dos Funcionários
IPhone 7 vendo ou troco,R$ 600,Fortaleza Sapiranga-Coité
IPHONE 8 64 GB,R$ 1.000,Fortaleza Cidade 2000
iphone X - 256 gb ,R$ 1.400,Fortaleza Bom Jardim
iPhone 12 ,R$ 2.900,Fortaleza Messejana
Vendo iPhone 11 64gb roxo,R$ 2.200,Fortaleza Jardim Cearense
Iphone 6plus 128gb ,R$ 500,Fortaleza Serrinha
iPhone 11,R$ 600,Fortaleza Bom Futuro
iPhone 14pro super novo,R$ 6.499,Caucaia Tabapuá
iPhone 8 - 64gb,R$ 850,Fortaleza Meireles
IPhone 11 Pro max 64gb preto ,R$ 3.199,Fortaleza Aerolândia
iPhone 11 ,R$ 2.400,Fortaleza Mucuripe
iPhone 12 Pro Max azul ,R$ 4.399,Fortaleza Cidade 2000
Vendo iPhone 7 Plus 32 gigas ,R$ 900,Fortaleza Jardim Iracema
iPhone 13 ,R$ 3.580,Fortaleza Pirambu
iPhone 11 Pro ,R$ 2.700,Fortaleza Carlito Pamplona
iPhone 7 32G,R$ 700,Aquiraz
iphone xr branco ,R$ 1.700,Fortaleza Aldeota
iPhone 11 Pro 256 gigas ,R$ 3.000,Fortaleza Montese
iPhone 11 Pro ,R$ 2.750,Fortaleza Lagoa Redonda
IPhone 11 256gb,R$ 2.200,Fortaleza Vila Peri
iPhone  8 plus 64 gigas,R$ 1.500,Fortaleza Antônio Bezerra
iPhone 11 128Gb Black,R$ 1.900,Fortaleza Cais do Porto
IPhone 11 64 gb lista no canto da tela ,R$ 1.500,Eusébio
Iphone 11 Preto 64gb,R$ 2.200,Fortaleza Joaquim Távora
iPhone 6 s,R$ 600,Caucaia Nova Metrópole (Jurema)
iPhone 7,R$ 1.000,Fortaleza Conjunto Ceará II
iPhone 8 Plus ,R$ 1.450,Fortaleza Jardim Iracema
IPHONE XR -128 ,R$ 2.000,Fortaleza Joaquim Távora
Iphone 7 plus 128gb,R$ 1.000,Maracanaú Acaracuzinho
iPhone 7 32 gb funcionando tudo ,R$ 500,Caucaia Planalto Caucaia
iPhone ,R$ 2.200,Fortaleza Guajeru
TROCO IPHONE 12 64Gb EM 12PRO 128Gb,R$ 3.000,Fortaleza Passaré
Iphone 12 64GB,R$ 2.750,Fortaleza São Gerardo
Vendo IPhone 11 PRO ,R$ 2.700,Fortaleza Passaré
iPhone XR ,R$ 1.700,Fortaleza Joaquim Távora
Troco Por IPhone De Menor Valor ,,Fortaleza Jangurussu
iPhone 8 64gb  Estado de zero bateria 100% 1299R$ ou 10x144R$,R$ 1.299,Fortaleza Edson Queiroz
iPhone ,R$ 2.200,Fortaleza Guajeru
IPHONE 11 PRO 64GB IMPECÁVEL ESTADO DE ZEROO !,R$ 2.699,Fortaleza Mondubim
IPHONE 6s,R$ 480,Fortaleza Parque São José
iPhone 7plus ,R$ 1.000,Pacatuba Pavuna
iPhone 7plus,R$ 700,Maracanaú Jereissati I
iPhone 11 Verde 64gb ,R$ 2.300,Fortaleza Edson Queiroz
iPhone 8 plus,R$ 1.200,Maracanaú Luzardo Viana
iPhone 8 plus,R$ 1.200,Maracanaú Alto Alegre II
iPhone 13 PRO MAX,R$ 5.950,Fortaleza Cidade 2000
Iphone 6s sem defeitos ,R$ 450,Fortaleza Jardim Cearense
iPhone 8plus ,R$ 1.350,Fortaleza Centro
iPhone 7,R$ 700,Fortaleza Jacarecanga
iPhone 11 128gigas ,R$ 2.200,Fortaleza Jardim Guanabara
Iphone xr,R$ 1.900,Aquiraz
iPhone X 64 GB Completo ,R$ 1.550,Fortaleza Edson Queiroz
iPhone 13 pro Max 128g bateria 95% garantia até maio estado de zero ,R$ 5.300,Fortaleza Floresta
IPhone 12 64GB,R$ 2.850,Fortaleza Prefeito José Walter
IPHONE SE 8,R$ 1.500,Fortaleza Parquelândia
iPhone 12 ,R$ 4.200,Caucaia Parque Guadalajara (Jurema)
iPhone 8plus 128gb,R$ 1.500,Fortaleza Jardim Guanabara
IPHONE 11 64GB/ 2.700 COM NOTA FISCAL!!!,R$ 2.700,Fortaleza Álvaro Weyne
iPhone 8 Plus 64G,R$ 1.350,Fortaleza Meireles
iPhone 11 256gb ,R$ 3.000,Fortaleza Presidente Kennedy
iPhone 12 pro max 128gb todo original com garantia ,R$ 4.599,Maracanaú Luzardo Viana
iPhone 13 ,R$ 4.000,Maracanaú Timbó
iPhone 11 128 giga,R$ 2.000,Fortaleza Barra do Ceará
iPhone XR,R$ 2.100,Fortaleza Antônio Bezerra
iPhone 8,R$ 800,Aquiraz
iPhone 7 plus,R$ 500,Fortaleza Genibaú
iPhone ,R$ 2.000,Fortaleza Olavo Oliveira
iPhone 8 Plus ( completo) ,R$ 1.300,Fortaleza Parque Dois Irmãos
iPhone 11 Pro Max,R$ 3.000,Fortaleza Jangurussu
iPhone 7 Plus ,R$ 900,Pacatuba Senador Carlos Jereissati
iPhone 11 64 Gigas ,R$ 2.100,Fortaleza Tauape
iPhone 7 Plus 128GB,R$ 700,Fortaleza Vila União
iPhone 11 128 giga,R$ 2.000,Fortaleza Barra do Ceará
iPhone 8 plus ,R$ 1.600,Pindoretama
iPhone 7plus ,R$ 900,Fortaleza Siqueira
iPhone 11 Pro Max 64gb,R$ 3.000,Maracanaú Novo Oriente
iPhone 11 64 G Bateria 80%,R$ 2.000,Pentecoste
IPhone 13 PRO 256GB seminovo ,R$ 5.700,Fortaleza José Bonifácio
iPhone 8 Plus ,R$ 900,Fortaleza Jardim Guanabara
iPhone 6s ótimo ,R$ 600,Eusébio
Iphone Xr Muito ,R$ 1.750,Fortaleza Vicente Pinzon
iPhone XR - 64GB,R$ 1.800,Fortaleza Jardim Iracema
iPhone 11 Pro Max 256GB,R$ 3.500,Maracanaú Jardim Bandeirantes
iPhone x,R$ 1.400,Fortaleza Sapiranga-Coité
iPhone 8,R$ 1.300,Fortaleza Antônio Bezerra
iPhone 11 256gb,R$ 2.790,Fortaleza Centro
Iphone 8,R$ 850,Fortaleza Jardim Guanabara
Troco ou vendo iPhone 7plus,R$ 900,Fortaleza Manoel Sátiro
iPhone se 64GB branco ,R$ 900,Fortaleza Cocó
Iphone 7 (Leia a descrição),R$ 400,Fortaleza Cristo Redentor
iPhone XR 64GB,R$ 1.800,Maracanaú Alto Alegre I
iPhone XS 64g sem Marcas de uso,R$ 1.599,Fortaleza Mondubim
iPhone 8 Plus usado não tem caixa ,R$ 1.200,Fortaleza Padre Andrade
iPhone XS 256 GB,R$ 2.300,Pacatuba Senador Carlos Jereissati
IPHONE 11 Semi Novo - 128GB - All Black,R$ 2.900,Fortaleza Barra do Ceará
Iphone 13 Pro Max 128 Gb (Sierra Blue) Semi Novo,R$ 6.290,Fortaleza Aldeota
iPhone 8 Plus 64,R$ 1.300,Fortaleza Granja Portugal
IPhone 7 128GB,R$ 600,Fortaleza Granja Lisboa
IPHONE 8 64GB,R$ 900,Fortaleza Barra do Ceará
iPhone 13,R$ 4.200,Maracanaú
Vendo iPhone 8 Plus 64,R$ 1.200,Caucaia Nova Metrópole (Jurema)
IPhone 11 64 gb,R$ 2.400,Pacajus
iPhone 7 Plus valor negociável ,R$ 1.000,Fortaleza Cidade 2000
Iphone 12 Red,R$ 3.000,Fortaleza Mondubim
Iphone 12 azul 128gb semi-novo,R$ 2.900,Eusébio Urucunema
IPHONE XS MAX 256 gb,R$ 2.200,Fortaleza Mondubim
iPhone 11 128gb ,R$ 2.450,Eusébio Centro
iPhone 11 128gb ACEITO TROCAR!,R$ 2.900,Fortaleza Quintino Cunha
iPhone 7 Plus ,R$ 1.100,Fortaleza Prefeito José Walter
IPhone 13 Pro Max 128gb seminovo sem marcas de uso ,R$ 6.000,Fortaleza Varjota
iPhone 12 semi novo ,R$ 2.600,Fortaleza Vila Velha
IPhone 11 128gb branco ,R$ 2.599,Fortaleza Cidade dos Funcionários
iPhone Xr 64 GB 1.850 reais,R$ 1.850,Fortaleza Vila Velha
iPhone 7 128 gb,R$ 380,Fortaleza Passaré
iPhone 10X PRO Max ,R$ 2.100,Fortaleza Serrinha
iPhone 11 128gb,R$ 2.200,Fortaleza São Gerardo
iPhone 12 - 256gb - garantia até Dezembro ,R$ 3.950,Fortaleza Ellery
Vendo iPhone 12 Pro Max,R$ 3.990,Fortaleza Jangurussu
iPhone 11 256gb,R$ 2.600,Fortaleza Aldeota
iPhone 8 plus 64 gigas ,R$ 1.450,Fortaleza Parque Presidente Vargas
iPhone 14 pro Max 128g,R$ 7.200,Fortaleza Sapiranga-Coité
iPhone 12 mini 128gb (de operadora),R$ 2.700,Caucaia Planalto Caucaia
iPhone 12 Pro Max 128 GB gold ,R$ 4.449,Fortaleza Jardim das Oliveiras
iPhone ,R$ 1.450,Fortaleza Quintino Cunha
IPhone 11 Pro 64GB ,R$ 2.600,Fortaleza Quintino Cunha
iPhone 8 64gb,R$ 750,Fortaleza Barroso
Iphone 7 256GB!!,R$ 750,Eusébio Tamatanduba
iPhone x,R$ 1.300,Fortaleza Genibaú
Iphone 7 preto ,R$ 500,Fortaleza Dias Macedo
iPhone xr,R$ 1.550,Fortaleza Granja Lisboa
Iphone xr todo original ,R$ 1.599,Pacajus
Iphone XS 256gb Gold,R$ 2.300,Pacatuba Senador Carlos Jereissati
iPhone 8s plus,R$ 900,Maranguape Guabiraba
IPhone XR Blue 128GB ,R$ 1.750,Fortaleza Serrinha
IPhone 12 - VERDE - 64 GB (ACEITO TROCAS),R$ 2.900,Fortaleza Parangaba
iPhone 12,R$ 3.500,Fortaleza Quintino Cunha
IPHONE XR POUCOS MESES DE USO ,R$ 1.800,Fortaleza Mondubim
iPhone 13 128gb ,R$ 4.299,Paracuru
iPhone 12 Pro Max 128gb Impecável garantia 6 meses ,R$ 4.599,Maracanaú Centro
iPhone 8 64gb,R$ 1.200,Fortaleza Antônio Bezerra
 iPhone 8 64 gb,R$ 1.100,Fortaleza Antônio Bezerra
iPhone 11 de 64GB,R$ 2.100,Maracanaú Alto Alegre II
iPhone 11 64gb branco impecável garantia 6 meses ,R$ 2.399,Maracanaú Centro
iPhone 7 128 gb ,R$ 650,Fortaleza Carlito Pamplona
iPhone 8 Plus 64gb Nunca Aberto ( Impecável ) + Carregador Original ,R$ 1.450,Fortaleza Bela Vista
iPhone  11 novíssimo ,R$ 2.250,Caucaia Curicaca
iPhone 8 Plus 64gb impecável garantia 6 meses ,R$ 1.599,Maracanaú Centro
iPhone 7plus 128g,R$ 1.100,Fortaleza Itaoca
iPhone X 64gb,R$ 1.399,Fortaleza Parque Dois Irmãos
iPhone xr 256gb ,R$ 2.000,Fortaleza Jangurussu
Iphone 7 128g ,R$ 850,Maracanaú Pajuçara
iPhone 11 em perfeito estado,R$ 1.990,Fortaleza Mondubim
iPhone 11 Pro Max ,R$ 2.800,Fortaleza João XXIII
iPhone 8 normal ,R$ 1.000,Aquiraz
iPhone 11 ,R$ 1.800,Fortaleza Jangurussu
Vendo ou troco iPhone XR ,R$ 1.600,Fortaleza Pirambu
iPhone XR 256Gb ,R$ 2.490,Fortaleza Fátima
iPhone 13 Pro Max 128,R$ 5.200,Fortaleza Cocó
Iphone 8 64g,R$ 900,Fortaleza Parque Santa Maria
Iphone 12 Pro Max,R$ 4.499,Fortaleza Papicu
iPhone 7plus 128gb ,R$ 950,Fortaleza Quintino Cunha
iPhone SE 2020 ,R$ 1.200,Fortaleza Mondubim
iPhone 64 gb gold rose ,R$ 1.300,Fortaleza Fátima
iPhone 8 Plus 256,R$ 1.650,Fortaleza Ellery
Iphone 7 128GB,R$ 900,Caucaia Nova Metrópole (Jurema)
iPhone  8Plus 256gb,R$ 1.499,Fortaleza Parangaba
iPhone 7 Plus 32 G rose gold,R$ 1.000,Fortaleza Joaquim Távora
iPhone 11 128 gb na garantia!,R$ 2.900,Fortaleza Benfica
iPhone SE 2020 2ª Geração,R$ 2.000,Fortaleza Farias Brito
Iphone 7 Plus todo original ,R$ 1.250,Fortaleza Jóquei Clube
IPhone 12 Branco 64 gb,R$ 3.000,Fortaleza Henrique Jorge
iPhone 7plus,R$ 1.000,Fortaleza Bonsucesso
iPhone 8 64GB,R$ 900,Maracanaú Jereissati I
iPhone XS Max 256G,R$ 2.300,Fortaleza Aldeota
Iphone 13 Pro Max 256Gb,R$ 5.599,Fortaleza Papicu
iPhone 11 64gb impecáveis 96% bateria + garantia ,R$ 2.300,Maracanaú Alto Alegre II
iphone x ,R$ 1.200,Fortaleza Dias Macedo
Iphone 13 Pro Max 256 Gb ,R$ 5.699,Fortaleza Papicu
Iphone Xr,R$ 1.500,Fortaleza Alto da Balança
iPhone X !!,R$ 1.350,Fortaleza Jangurussu
iPhone 12 mini,R$ 2.500,Fortaleza Bom Jardim
Iphone 6S,R$ 590,Fortaleza Joaquim Távora
IPHONE 8 PLUS 64g,R$ 1.300,Aquiraz
iPhone 7 128 gb ,R$ 780,Fortaleza Parque São José
iPhone 11 64Gb 97% COMPLETO GARANTIA ,R$ 2.499,Fortaleza Passaré
iPhone SE 2 geração 2022,R$ 1.000,Fortaleza Messejana
iPhone 11 64gb,R$ 2.100,Fortaleza Centro
IPhone 11 128gb Anatel Excelente Estado e carregador turbo,R$ 2.499,Fortaleza Cocó
IPHONE 7 PLUS 32GB BATERIA 100%,R$ 750,Pacatuba Senador Carlos Jereissati
iPhone XR de 128GB,R$ 2.100,Maracanaú Alto Alegre II
iPhone 11 Pro Max 64gb Impecável garantia 6 meses ,R$ 3.399,Maracanaú Centro
iPhone 6s,R$ 450,Fortaleza Granja Portugal
iPhone 11 Pro Max 64gb,R$ 3.000,Caucaia Icaraí
iPhone 11 64gb ,R$ 2.300,Fortaleza Bela Vista
iPhone 11 128g Preto,R$ 2.650,Fortaleza Cambeba
iPhone 12 64g Preto ,R$ 2.850,Fortaleza Cambeba
iPhone ,R$ 1.200,Aquiraz
iPhone 12 Pro Max 128gb Impecável garantia 6 meses ,R$ 4.599,Maracanaú Centro
iPhone 11 Pro Max 64g,R$ 1.800,Fortaleza Parque Presidente Vargas
iPhone 6s,R$ 500,Pindoretama
iPhone 12 64gb,R$ 3.200,Fortaleza Meireles
IPHONE 13 - 256GB,R$ 4.700,Fortaleza Pirambu
iPhone 11 Pro Max 64gb impecável garantia 6 meses ,R$ 3.399,Maracanaú Centro
iPhone 11/64 g,R$ 2.800,Fortaleza Parque Araxá
iPhone 13 Pro Max de 512 extra extra ,R$ 5.800,Maranguape Guabiraba
iPhone 13 256 gb ,R$ 5.000,Fortaleza Henrique Jorge
IPhone X 256gb e um IPhone 7 256gb e um IPhone 7 Plus 32 gb,R$ 2.700,Fortaleza Boa Vista-Castelão
iPhone 11 64gb ,R$ 2.450,Maranguape Novo Maranguape I
Vendo iPhone 12 Red 64gb estado de novo,R$ 3.049,Fortaleza Manoel Sátiro
iPhone 7 128Gb impecável,R$ 700,Fortaleza Messejana
iPhone 7 Plus ,R$ 1.000,Fortaleza Fátima
iPhone XR 64GB,R$ 1.200,Maracanaú Coqueiral
iPhone 6s ,R$ 450,Fortaleza Jacarecanga
