Modelo,Valor,Local
VENDE-SE IPHONE 11 64GB SEMINOVO !!! ,R$ 1.900,Caucaia Parque Guadalajara (Jurema)
Vendo ou troco  iPhone 11 128g com volta.,R$ 2.400,Fortaleza Bonsucesso
iPhone 7plus,R$ 750,Fortaleza Centro
IPhone 7 Plus Seminovo,R$ 900,Caucaia Parque Albano (Jurema)
iPhone 8,R$ 900,Fortaleza Messejana
iPhone 12 Pro Max ,R$ 4.400,Fortaleza Meireles
IPHONE 8 Plus novíssimo 64gb,R$ 1.300,Fortaleza Jardim Iracema
iPhone XR 64gb bateria 100%,R$ 1.700,Caucaia Planalto Caucaia
iPhone 8 Plus 256 GB ,R$ 1.400,Fortaleza Mondubim
IPhone ,R$ 550,Eusébio Amador
iPhone  12 Pro Max 512GB,R$ 5.600,Fortaleza Dendê
iPhone 12 256gb,R$ 3.500,Fortaleza Vila Velha
iPhone 7plus rose,R$ 999,Fortaleza Conjunto Palmeiras
iPhone 8 64gigas,R$ 700,Fortaleza Parquelândia
iPhone ,R$ 2.200,Fortaleza Centro
Iphone 12 seminovo,R$ 3.500,Fortaleza Aldeota
iPhone 11 64gb ,R$ 2.100,Fortaleza Montese
iPhone 11,R$ 0,Fortaleza Parque Santa Maria
IPHONE 11 - 128gb,R$ 2.000,Fortaleza Meireles
Iphone XR 64GB,R$ 1.350,Fortaleza São Gerardo
iPhone 11 zerado ,R$ 2.300,Maracanaú Pajuçara
iPhone 12 Pro Max ,R$ 4.500,Fortaleza Meireles
Troco por iPhone bike aro 29,R$ 1.250,Fortaleza Vila Peri
Vendo um iPhone 11,R$ 2.100,Maracanaú Novo Maracanaú
iPhone 7,R$ 999,Fortaleza Manuel Dias Branco
iPhone 12 64 gigas ,R$ 3.000,Fortaleza Jardim Iracema
iPhone XR 64GB Preto 3 meses de garantia,R$ 1.850,Caucaia Planalto Caucaia
IPHONE 13 Pro gold 128gb,R$ 4.700,Fortaleza Aldeota
iPhone 8,R$ 900,São Gonçalo do Amarante
iPhone 11,R$ 2.300,Maranguape Outra Banda
IPhone 8,R$ 900,Fortaleza Manoel Sátiro
iPhone 7 32GB,R$ 700,Fortaleza Parque Dois Irmãos
iPhone 11 64 impecável e todo original ,R$ 2.200,Fortaleza Cidade 2000
iPhone 13 PRO ,R$ 5.850,Eusébio Coaçu
IPHONE XS MAX 64gb,R$ 1.650,Fortaleza Jardim das Oliveiras
Iphone 11 pro 256GB Gold,R$ 3.400,Fortaleza Damas
iPhone 8 64gb gold VENDO POR 1100 no PIX,R$ 1.250,Fortaleza Mondubim
Iphone 8 Plus,R$ 1.300,Fortaleza Jacarecanga
iPhone XS 256gb ,R$ 1.300,Fortaleza Coaçu
iPhone XR 64gb ,R$ 1.350,Fortaleza Novo Mondubim
iPhone 8 plus 128 GB câmera borrada atrás ,R$ 800,Fortaleza Conjunto Ceará II
iPhone 11 64 gb ,R$ 2.000,Fortaleza Passaré
iPhone 12 64gb Preto,R$ 2.350,Fortaleza Passaré
iPhone 13 Pro Max 256gb,R$ 5.150,Fortaleza Passaré
iPhone 7 Plus 32gb,R$ 0,Fortaleza Tauape
iPhone X 256gb ,R$ 2.400,Fortaleza Papicu
iPhone 11 preto ,R$ 2.000,Fortaleza Conjunto Esperança
iPhone 7 Novo na Caixa ,R$ 700,Maracanaú Horto
IPhone X 256G 100%Bat ,R$ 1.800,Fortaleza Prefeito José Walter
iPhone 11,R$ 2.400,Fortaleza Novo Mondubim
Iphone,R$ 2.800,Fortaleza Quintino Cunha
Vendo iPhone 8 64GB rose,R$ 1.050,Fortaleza Passaré
iPhone 8Plus 64gb,R$ 1.200,Fortaleza Jacarecanga
iPhone 12 Pro Max troca ,R$ 4.200,Fortaleza Vicente Pinzon
IPhone 7 Plus ,R$ 1.100,Fortaleza Monte Castelo
iPhone XR ,R$ 1.800,Fortaleza Barra do Ceará
iPhone 11 Red 64gb,R$ 2.600,Fortaleza Manoel Sátiro
iPhone 8 Plus 64g,R$ 1.050,Fortaleza Parangaba
Iphone 11 pro max 64gb,R$ 2.900,Fortaleza Barra do Ceará
iPhone 11,R$ 2.200,Fortaleza Itaperi
iPhone 13 mini Red 128GB,R$ 3.000,Fortaleza Cocó
iPhone 8plus 64GB Rosé Gold ,R$ 1.200,Fortaleza Prefeito José Walter
iPhone 11 64gb,R$ 2.450,Fortaleza Passaré
iPhone 7plus,R$ 1.000,Caucaia Padre Julio Maria
iPhone 11 Pro Max 64 gb,R$ 3.050,Fortaleza Praia de Iracema
Vendo iPhone XS Max 64 GB ,R$ 2.100,Fortaleza Novo Mondubim
Iphone 8 64gb,R$ 850,Fortaleza Tauape
Iphone 8 64g (LEIA A DESCRIÇÃO),R$ 700,Fortaleza Cajazeiras
iPhone XS MAX 256g,R$ 1.800,Fortaleza Barra do Ceará
IPhone X 64 GB Branco Novo ,R$ 2.000,Fortaleza De Lourdes
Iphone 13 Pro Estado de Novo Garantia com carregador turbo grátis,R$ 5.199,Fortaleza Cocó
iPhone 11 256gb,R$ 2.299,Fortaleza Passaré
iPhone 7 Plus 128gb ,R$ 1.000,Fortaleza Engenheiro Luciano Cavalcante
iPhone 8 Plus,R$ 1.400,Fortaleza Messejana
iPhone 11 256gb,R$ 2.100,Fortaleza Vila União
iPhone 8 Plus ,R$ 1.550,Fortaleza Álvaro Weyne
iPhone 12 Pro Max 256 gb ,R$ 4.500,Fortaleza Coaçu
iPhone 12,R$ 3.200,Fortaleza Carlito Pamplona
iPhone 8plus ,R$ 800,Aquiraz
iPhone 12 Pro 128gb pacific Blue ,R$ 4.199,Fortaleza Meireles
Vendo iPhone xr,R$ 1.600,Fortaleza Barra do Ceará
IPhone 7,R$ 400,Fortaleza Barroso
iPhone 11,R$ 2.150,Pacatuba Senador Carlos Jereissati
iPhone 07,R$ 800,Fortaleza Vila Velha
Iphone 11,R$ 2.950,Fortaleza Cajazeiras
IPhone 11 64 GB Space Gray,R$ 2.700,Fortaleza Passaré
Iphone XR 64gb,R$ 2.000,Fortaleza Vicente Pinzon
VENDO IPHONE X ESTADO DE NOVO,R$ 1.500,Maracanaú Jereissati II
iPhone XR zerado ,R$ 1.950,Fortaleza Meireles
iPhone 11 branco,R$ 2.200,Fortaleza Lagoa Redonda
iPhone 11 branco ,R$ 2.150,Fortaleza Lagoa Redonda
Iphone 11 PRO,R$ 2.850,Fortaleza Granja Lisboa
iPhone 11 pro Max 256g por 2500 para vender logo ,R$ 2.500,Fortaleza Passaré
iPhone 11 ,R$ 1.600,Fortaleza Parangaba
iPhone 13 Pro 128GB dourado seminovo,R$ 4.550,Fortaleza José de Alencar
IPhone 11 128 Gigas ,R$ 2.700,Fortaleza Itaperi
IPhone XR 64GB R$1850,R$ 1.850,Fortaleza Mondubim
iPhone XR  ,R$ 1.900,Fortaleza Dendê
iPhone 13(128g) ,R$ 3.850,Fortaleza Farias Brito
iPhone 13 256 GB,R$ 5.000,Fortaleza Aldeota
IPhone ,R$ 1.400,Fortaleza Floresta
iPhone 13 128gb impecável + garantia + entrega grátis ,R$ 3.800,Fortaleza Canindezinho
IPHONE 11 pro max 64gigas ,R$ 3.200,Fortaleza Aracapé
iPhone novíssimo ,R$ 750,Fortaleza Engenheiro Luciano Cavalcante
iPhone XR ,R$ 1.700,Fortaleza Coaçu
iPhone 8 Plus Gold ,R$ 1.200,Fortaleza Barra do Ceará
iPhone 11 pro max ,R$ 2.800,Fortaleza Centro
iPhone XR,R$ 1.450,Fortaleza Barra do Ceará
iPhone 11 ,R$ 2.400,Fortaleza Bonsucesso
iPhone 11 64 g,R$ 2.000,Fortaleza Dionisio Torres
iPhone 7 plus black,R$ 850,Fortaleza Vila Peri
Iphone 7 preto ,R$ 980,Fortaleza Cidade dos Funcionários
iPhone 7 32GB,R$ 600,Fortaleza Granja Portugal
Iphone 6s,R$ 200,Aquiraz
iPhone 11 ,R$ 1.800,Fortaleza Aldeota
iPhone 11 Pro Max de 256gb preto,R$ 3.100,Maranguape Parque Iracema
iPhone 7 Plus - Seminovo ,R$ 1.000,Fortaleza José Bonifácio
iPhone X 256g / Valor R$ 1250,R$ 1.250,Fortaleza Mondubim
IPHONE 12 PRO MAX 128GB,R$ 4.350,Fortaleza Jacarecanga
iPhone XR,R$ 1.750,Fortaleza Meireles
Iphone 8 plus 256 ,R$ 1.400,Fortaleza Cajazeiras
IPhone 13 pro,R$ 7.500,Maracanaú Pajuçara
iPhone 8 plus ,R$ 1.600,Itaitinga
iPhone 12 Pro MAX 128GB c NOTA FISCAL ,R$ 4.400,Fortaleza Jóquei Clube
Vendo IPhone 11 PRO ,R$ 2.700,Fortaleza Passaré
Iphone 6S,R$ 590,Fortaleza Joaquim Távora
iPhone 12 Pro / Valor incluso com acompanhamentos,R$ 3.999,Fortaleza Parque Iracema
iPhone XS MAX 64gb,R$ 1.850,Fortaleza Meireles
iPhone 6s 32GB cinza ,R$ 500,Fortaleza Vila Velha
iPhone 7,R$ 600,Fortaleza Dendê
Vendo iPhone 8 novo! ,R$ 1.000,Fortaleza São Bento
iPhone XS 64,R$ 1.300,Fortaleza Carlito Pamplona
iPhone 11 Pro ,R$ 2.900,Fortaleza Pici
Vendo iPhone 7 32gb,R$ 650,Maracanaú Jardim Bandeirantes
iPhone 11 semiústo 128,R$ 2.450,Caucaia Tabuba
IPhone XR 64gb,R$ 1.800,Fortaleza Quintino Cunha
iPhone 8 Plus 64GB,R$ 1.300,Fortaleza Papicu
iPhone 12 Preto,R$ 3.300,Caucaia Araturi (Jurema)
iPhone 13 ,R$ 5.150,Pacatuba Senador Carlos Jereissati
iPhone 11 128gb ,R$ 2.200,Fortaleza Aldeota
IPHONE 8 VENDER LOGO,R$ 1.300,Fortaleza Vila Velha
Iphone 8 plus,R$ 1.350,Maracanaú Novo Maracanaú
Iphone 7plus ,R$ 950,Maracanaú Novo Maracanaú
Troco iphone 7 Plus preto 32 Gb em Samsung ,R$ 700,Caucaia Planalto Caucaia
iPhone 8 Plus ,R$ 1.000,Fortaleza Pirambu
iPhone 12 128gb impecável,R$ 3.498,Fortaleza Cajazeiras
iPhone 11 Pro 64Gb 92% de Saúde da Bateria,R$ 2.950,Fortaleza Centro
Iphone XR 128G sem marcas de uso,R$ 2.200,Fortaleza Parque Manibura
iPhone 8 Plus 64 ,R$ 1.250,Fortaleza Carlito Pamplona
Vendo IPhone 7 32G - NÃO OFEREÇAM TROCA,R$ 1.000,Fortaleza Parque Manibura
Iphone X,R$ 1.200,Fortaleza Aldeota
iPhone 8plus red,R$ 1.500,Fortaleza Bom Jardim
iPhone 7,R$ 600,Fortaleza Salinas
iphone 13 pro max 128gb na garantia,R$ 5.500,Fortaleza Meireles
IPHONE SE 2020 + ACESSÓRIOS (12 x 12500),R$ 1.300,Fortaleza Presidente Kennedy
iPhone 7plus ,R$ 900,Fortaleza Parque São José
iPhone 8 plus ,R$ 1.300,Fortaleza Sapiranga-Coité
iPhone 8plus ,R$ 1.200,Fortaleza Jóquei Clube
iPhone XS gold,R$ 1.900,Fortaleza Vila Velha
IPhone 7 normal,R$ 700,Fortaleza Cristo Redentor
IPHONE 11 BRANCO 128gb,R$ 2.700,Fortaleza Conjunto Ceará I
iPhone 11 64gb  IMPECÁVEL ! ,R$ 2.390,Fortaleza Papicu
Vendo iPhone 7 128 GB ,R$ 600,Maranguape Novo Maranguape II
iPhone XS Max 256gb,R$ 2.400,Fortaleza Monte Castelo
iPhone 7 64 gb novo sem marca de uso ,R$ 980,Fortaleza Cidade dos Funcionários
iPhone 7 Plus 128 red ,R$ 900,Fortaleza Mondubim
iPhone 13 Pro Max - 128 GB,R$ 5.600,Caucaia Planalto Caucaia
iPhone 8 bateria 74%,R$ 750,Fortaleza Antônio Bezerra
iPhone ,R$ 600,Fortaleza Pici
IPHONE xr 128gb ,R$ 1.850,Fortaleza Ellery
IPhone XR 128gb,R$ 2.300,Fortaleza Mondubim
iPhone XR ,R$ 1.600,Fortaleza Parque Iracema
iPhone xr ,R$ 1.500,Fortaleza Presidente Kennedy
iPhone 8 Plus 64g,R$ 1.350,Fortaleza Parangaba
Iphone 8 Plus,R$ 1.200,Fortaleza Panamericano
iPhone XR 64gb black impecável garantia 6 meses ,R$ 1.899,Maracanaú Centro
Iphone XR 64GB,R$ 1.700,Fortaleza Damas
iPhone 14 Pro 256Gb Roxo Garantia Apple ,R$ 6.299,Fortaleza Tauape
Iphone 12 64Gb Novíssimo - SÓ VENDA,R$ 3.500,Fortaleza Prefeito José Walter
iPhone 11 128gb,R$ 2.400,Caucaia Parque Guadalajara (Jurema)
iPhone 11 Pro Max 64gb Impecável garantia 6 meses ,R$ 3.299,Maracanaú Centro
iPhone 11 64gb branco mpecável garantia 6 meses ,R$ 2.499,Maracanaú Centro
iPhone XS Max gold é iPhone 11pro max,R$ 5.000,Caucaia São Miguel (Jurema)
iPhone 11 64gb branco Impecável garantia 6 meses ,R$ 2.399,Maracanaú Centro
Iphone 11 128gb,R$ 2.350,Fortaleza Messejana
Vendo ou troco em um iphone 8plus 128GB (Samsung Galaxy M52 5G) ,R$ 1.300,Fortaleza Alto da Balança
Iphone 8 R$ 800,R$ 800,Fortaleza Montese
iPhone XR ,R$ 1.850,Fortaleza Rodolfo Teófilo
iPhone XS Max 64g,R$ 1.600,Fortaleza José de Alencar
iPhone XR (aceito cartao),R$ 1.500,Fortaleza Pici
IPHONE 11 128g ESTADO DE NOVO ,R$ 2.400,Fortaleza Parquelândia
iPhone 7 128 gb,R$ 700,Fortaleza Siqueira
Troca em iPhone 7 ou 8 plus e outros tbm ,R$ 1.050,Fortaleza Conjunto Palmeiras
(PROMOÇÃO) IPhone XR 128gigas ,R$ 1.600,Fortaleza Farias Brito
Vendo ou troco  iPhone 6splus ,R$ 500,Fortaleza Bom Jardim
IPhone 8plus 64GB ,R$ 1.300,Fortaleza Pirambu
iPhone - Troca de tela e bateria,R$ 100,Fortaleza Dendê
iphone 8 plus $1000,R$ 1.000,Fortaleza Lagoa Redonda
iPhone 8 64g,R$ 1.300,Eusébio Tamatanduba
IPhone SE 2020 (64Gb),R$ 1.600,Fortaleza Jangurussu
iPhone 11 pro max ,R$ 3.000,Fortaleza Centro
iPhone Xs ,R$ 1.550,Fortaleza Damas
iPhone 7 Plus 128gb com digital ,R$ 950,Caucaia Nova Metrópole (Jurema)
iPhone 7 RED 128g. Parcelo no cartão de 10x sem juros. ,R$ 680,Fortaleza Bom Futuro
iPhone XR ,R$ 1.200,Fortaleza Jangurussu
Iphone 11 impecavel,R$ 2.720,Fortaleza Joaquim Távora
iPhone 11 sem marca de uso ,R$ 2.700,Fortaleza Engenheiro Luciano Cavalcante
iPhone 13 Pro Max ,R$ 5.500,Fortaleza Cais do Porto
iPhone 8 ,R$ 900,Fortaleza Passaré
iPhone ,R$ 2.500,Caucaia Padre Julio Maria
iPhone 7,R$ 600,Fortaleza Bom Jardim
iPhone 8 ,R$ 980,Fortaleza Planalto Ayrton Senna
Iphone  7plus vendo,R$ 800,Fortaleza Vila União
iPhone XS 256Gb,R$ 1.400,Fortaleza Itaoca
iPhone 11 256gb,R$ 2.790,Fortaleza Centro
Iphone 7 Rose,R$ 1.200,Pacajus
iPhone XS Max 64 GB Dourado,R$ 2.200,Fortaleza Centro
Vendo IPhone 11 64GB,R$ 2.250,Fortaleza Lagoa Redonda
iPhone XR 256GB Branco ,R$ 2.300,Fortaleza Lagoa Redonda
iPhone 11 Pro Max 256g,R$ 3.500,Fortaleza Mucuripe
IPhone 12 Pro Max 256gb,R$ 4.999,Fortaleza Parangaba
iPhone 11 128 em estado de zero.,R$ 2.800,Fortaleza Parque Dois Irmãos
Vendo iPhone XS Max único defeito é apenas essa listra!!,R$ 1.300,Fortaleza Pirambu
Iphone 11 64 Gb ,R$ 2.300,Fortaleza Vicente Pinzon
iPhone 13 128gb completo + garantia e entrega grátis ,R$ 3.800,Fortaleza Aldeota
IPHONE 11 64g,R$ 2.000,Fortaleza Barra do Ceará
Iphone 12 seminovo,R$ 3.500,Fortaleza Aldeota
Iphone 7 preto 128G,R$ 800,Fortaleza Alto da Balança
iPhone 8,R$ 900,Fortaleza Bom Jardim
iPhone x,R$ 2.760,Fortaleza Vila União
iPhone 11 64gb ,R$ 2.100,Fortaleza Montese
iPhone 8 plus - 64G,R$ 1.350,Caucaia Novo Pabussu
iPhone 11  Pro Max impecável ,R$ 2.950,Pacajus
iphone 64gb,R$ 2.250,Fortaleza Vila União
iPhone 11,R$ 2.200,Fortaleza Mondubim
iPhone 11 Tudo zero!!!,R$ 2.499,Fortaleza Itaperi
iPhone 11 acompanha cabo e capinha ,R$ 2.400,Fortaleza Antônio Bezerra
IPHONE 8 PLUS,R$ 1.150,Fortaleza Mondubim
IPhone XR 128gb,R$ 1.650,Fortaleza Parangaba
Iphone 11 128gb única dona impecável,R$ 2.100,Fortaleza Meireles
iPhone Xr 64gb impecável 100%,R$ 1.899,Fortaleza Aeroporto
Iphone 8 plus,R$ 1.700,Fortaleza Siqueira
iphone 11 ,R$ 2.100,Fortaleza Pedras
iPhone 12 Pro Max 128GB,R$ 4.500,Eusébio Cidade Alpha
Iphone 6s 64Gb,R$ 700,Fortaleza Manoel Sátiro
iPhone 7 128g disponível ,R$ 580,Fortaleza Cidade 2000
