ano,musica,tipo
1917,Back Home Again In Indiana,Jazz
1980,Back In Black,Rock/Pop
1939,Back In The Saddle Again,Country/Bluegrass
1968,Back In The U. S. S. R.,Rock/Pop
1982,Back On The Chain Gang,Rock/Pop
1972,Back Stabbers The,R & B/Soul
1998,Back That Azz Up,Hip-Hop
1989,Back To Life,Dance/Electronica
1925,Backwater Blues,Blues
1987,Bad Boys,Reggae
1979,Bad Girls,Dance/Electronica
1926,Bad Luck Blues,Blues
1969,Bad Moon Rising,Rock/Pop
1982,Bad To The Bone,Blues
1973,Bad Bad Leroy Brown,Rock/Pop
1949,Bali Ha'i,Musical/Film
1961,Ball And Chain,Blues
1958,Ballad Of A Teenage Queen,Country/Bluegrass
1965,Ballad Of A Thin Man,Rock/Pop
1967,Ballad Of Bonnie And Clyde The,Musical/Film
1955,Ballad Of Davy Crockett The,Country/Bluegrass
1972,Ballad Of El Goodo The,Rock/Pop
1963,Ballad Of Hollis Brown The,Blues
1962,Ballad Of Ira Hayes The,Country/Bluegrass
1973,Ballad Of Lucy Jordan The,Rock/Pop
1958,Ballad Of Paladin The,Country/Bluegrass
1991,Ballad Of Peter Pumpkinhead,Rock/Pop
1978,Ballad Of Sweeney Todd The,Musical/Film
1960,Ballad Of The Alamo,Country/Bluegrass
1957,Ballad Of Thunder Road,Country/Bluegrass
1968,Ballerina,R & B/Soul
1913,Ballin' The Jack,Musical/Film
1921,Baltimore Buzz,Musical/Film
1956,Banana Boat Song The (Day-O),Folk/Roots
1998,Bananas (Who You Gonna Call?),Hip-Hop
1970,Band Of Gold,R & B/Soul
1997,Barbie Girl,Dance/Electronica
1976,Barrett's Privateers,Folk/Roots
1928,Basin Street Blues,Blues
1994,Basket Case,Rock/Pop
1984,Basketball,Hip-Hop
1966,Batman Theme,Musical/Film
1991,Batonga,Dance/Electronica
1957,Battle Of New Orleans,Country/Bluegrass
1953,Baubles Bangles And Beads,Jazz
1998,Bawitdaba,Rock/Pop
1986,Bay City,Jazz
1960,Be Careful With A Fool,Blues
1984,Be In My Video,Rock/Pop
1963,Be My Baby,R & B/Soul
1950,Be My Love,Musical/Film
1990,Be My Yoko Ono,Rock/Pop
1999,Be There,Dance/Electronica
1996,Beads,Jazz
1916,Beale Street Blues,Blues
1944,Bean And The Boys,Jazz
1978,Beast Of Burden,R & B/Soul
1982,Beat It,R & B/Soul
1940,Beat Me Daddy (Eight To The Bar),Swing
1996,Beats And Pieces,Dance/Electronica
1918,Beautiful Ohio,Musical/Film
1998,Beautiful Skin,Hip-Hop
1960,Beauty Is A Rare Thing,Jazz
1998,Beauty Mark,Rock/Pop
1945,Bebop,Jazz
1956,Be-bop-a-lula,Rock/Pop
1978,Because The Night,Rock/Pop
1951,Because You're Mine,Musical/Film
1903,Bedelia,Musical/Film
1987,Beds Are Burning,Rock/Pop
1990,Been Caught Stealing,Rock/Pop
1996,Been There Done That,Hip-Hop
1939,Beer Barrel Polka,Folk/Roots
1997,Beetlebum,Rock/Pop
1967,Before The Next Teardrop Falls,Country/Bluegrass
1935,Begin The Beguine,Jazz
1973,Behind Closed Doors,Country/Bluegrass
1937,Bei Mir Bist Du Schon,Swing
1971,Being Green,Jazz
1999,Belfunk,Dance/Electronica
1981,Bellhead,Dance/Electronica
1980,Bellybowl,Folk/Roots
1997,Bentley's Gonna Sort You Out,Dance/Electronica
1952,Bernie's Tune,Jazz
1941,Besame Mucho,Jazz
1968,Beside You,R & B/Soul
1964,Bessie's Blues,Jazz
1977,Best Of My Love,R & B/Soul
1927,Best Things In Life Are Free The,Musical/Film
1981,Bette Davis Eyes,Rock/Pop
1959,Better Get Hit In Yo' Soul,Jazz
1941,Bewitched (Bothered And Bewildered),Jazz
1930,Beyond The Blue Horizon,Musical/Film
1947,Beyond The Sea,Jazz
1978,Big Black Car,Rock/Pop
1960,Big Boss Man,Blues
1995,Big City Blues,Blues
1994,Big City Woman,Blues
1988,Big Fun,Dance/Electronica
1962,Big Girls Don't Cry,Rock/Pop
1999,Big Hat No Cattle,Country/Bluegrass
1959,Big Iron,Country/Bluegrass
1966,Big Joe Mufferaw,Country/Bluegrass
1996,Big Momma Thang,Hip-Hop
1991,Big Ol' Goofy World,Folk/Roots
1999,Big Pimpin',Hip-Hop
1994,Big Poppa,Hip-Hop
1956,Big River,Country/Bluegrass
1928,Big Road Blues,Blues
1928,Big Rock Candy Mountain,Folk/Roots
1981,Big Ship,Reggae
1965,Big Spender,Jazz
1999,Big Three Killed My Baby,Rock/Pop
1993,Big Time Sensuality,Dance/Electronica
1970,Big Yellow Taxi,Rock/Pop
1967,Bike,Rock/Pop
1980,Biko,Rock/Pop
1949,Bilbao Song The,Jazz
1927,Bill,Musical/Film
1902,Bill Bailey Won't You Please Come Home,Jazz
1982,Billie Jean,R & B/Soul
1936,Billie's Blues,Blues
1999,Bills Bills Bills,R & B/Soul
1966,Billy Bayou,Country/Bluegrass
1900,Bird In A Gilded Cage A,Musical/Film
1944,Bird Of Paradise,Jazz
1968,Bird On The Wire (aka Bird On A Wire),Folk/Roots
1990,Birdhouse In Your Soul,Rock/Pop
1971,Birdland,Jazz
1926,Birth Of The Blues The,Blues
1969,Bitches Brew,Jazz
1997,Bittersweet Symphony,Rock/Pop
1986,Bizarre Love Triangle,Dance/Electronica
1929,Black And Blue,Jazz
1967,Black And Crazy Blues,Jazz
1926,Black Bottom Stomp,Jazz
1985,Black Codes (From The Underground),Jazz
1948,Black Coffee,Jazz
1976,Black Crow,Rock/Pop
1971,Black Dog,Rock/Pop
1994,Black Ego,Hip-Hop
1949,Black Fly Song The,Folk/Roots
1994,Black Hole Sun,Rock/Pop
1998,Black Ice,Hip-Hop
1968,Black Magic Woman,Blues
1973,Black Man Time,Reggae
1976,Black Napkins,Rock/Pop
1951,Black Night,Blues
1956,Black Orchid,Jazz
1926,Black Snake Moan,Blues
1995,Black Steel,Dance/Electronica
1988,Black Steel In The Hour Of Chaos,Hip-Hop
1989,Black Velvet,Rock/Pop
1969,Blackbird,Rock/Pop
1934,Blame It On My Youth,Jazz
1999,Bleckentrommel,Dance/Electronica
1995,Blessed,Reggae
1973,Blinded By The Light,Rock/Pop
1999,Bling Bling,Hip-Hop
1983,Blister In The Sun,Rock/Pop
1976,Blitzkrieg Bop,Rock/Pop
1997,Block Rockin' Beats,Dance/Electronica
1930,Blood On The Saddle,Country/Bluegrass
1989,Blow At High Dough,Rock/Pop
1934,Blow Gabriel Blow,Jazz
1987,Blow Wind Blow,Jazz
1962,Blowin' In The Wind,Folk/Roots
1959,Blowin' The Blues Away,Jazz
1971,Blue,Rock/Pop
1996,Blue,Country/Bluegrass
1963,Blue Bayou,Rock/Pop
1945,Blue Eyes Crying In The Rain,Country/Bluegrass
1995,Blue Fear,Dance/Electronica
1996,Blue Flowers,Hip-Hop
1927,Blue Ghost Blues,Blues
1937,Blue Hawaii,Musical/Film
1959,Blue In Green,Jazz
1991,Blue Lines,Dance/Electronica
1983,Blue Monday,Dance/Electronica
1954,Blue Monk,Jazz
1934,Blue Moon,Jazz
1947,Blue Moon Of Kentucky,Country/Bluegrass
1972,Blue River,Folk/Roots
1959,Blue Rondo A La Turk,Jazz
1992,Blue Room,Dance/Electronica
1926,Blue Room The,Musical/Film
1956,Blue Seven (Blue 7),Jazz
1948,Blue Shadows On The Trail,Country/Bluegrass
1927,Blue Skies,Jazz
1955,Blue Suede Shoes,Rock/Pop
1957,Blue Trane,Jazz
1977,Blue Valentines,Jazz
1940,Blueberry Hill,R & B/Soul
1941,Bluegrass Breakdown,Country/Bluegrass
1930,Blues Before Sunrise,Blues
1960,Blues Connotation,Jazz
1965,Blues Etude,Jazz
1989,Blues From A Gun,Rock/Pop
1941,Blues In The Night,Jazz
1958,Blues March,Jazz
1967,Blues On The Corner,Jazz
1987,Blues Palace,Folk/Roots
1990,Blues The,R & B/Soul
1955,Bo Diddley,Rock/Pop
1924,Bo' Weevil Blues,Blues
1962,Boa Constrictor,Folk/Roots
1993,Bob,Rock/Pop
1930,Body And Soul,Jazz
1991,Bohemia,Folk/Roots
1919,Bohemia Rag,Ragtime
1975,Bohemian Rhapsody,Rock/Pop
1929,Bolero,Classical/ Contemporary
1995,Bombshelter Beast,Jazz
1992,Bombtrack,Rock/Pop
1959,Bonanza Theme,Musical/Film
1949,Bonaparte's Retreat,Country/Bluegrass
1988,Bone Machine,Rock/Pop
1988,Bonin' In The Boneyard,Rock/Pop
1990,Bonita Applebum,Hip-Hop
1948,Boogie Chillen,Blues
1977,Boogie Nights,Dance/Electronica
1979,Boogie Wonderland,Dance/Electronica
1941,Boogie Woogie Bugle Boy,Swing
1979,Boogie Woogie Dancin' Shoes,Dance/Electronica
1958,Book Of Love,R & B/Soul
1962,Boom Boom,Blues
1999,Boom Boom,Jazz
1959,Boom Boom Out Goes The Lights,Blues
1995,Boombastic,Reggae
1963,Boots Of Spanish Leather,Folk/Roots
1977,Bop Gun (Endangered Species),R & B/Soul
1977,Bop-Be,Jazz
1949,Boplicity,Jazz
1970,Border Song (Holy Moses),Rock/Pop
1990,Born At The Right Time,Rock/Pop
1965,Born In Chicago,Blues
1984,Born In The USA,Rock/Pop
1969,Born On The Bayou,Blues
1995,Born Slippy,Dance/Electronica
1946,Born To Be Blue,Jazz
1968,Born To Be Wild,Rock/Pop
1943,Born To Lose,Country/Bluegrass
1975,Born To Run,Rock/Pop
1951,Born Under A Bad Sign,Blues
1994,Borough Check,Hip-Hop
1973,Borstal Boys,Rock/Pop
1969,Both Sides Now,Folk/Roots
1998,Bottle Of Blues,Rock/Pop
1975,Boulder To Birmingham,Country/Bluegrass
1933,Boulevard Of Broken Dreams The,Jazz
1992,Bouncer,Dance/Electronica
1947,Bouncing With Bud,Jazz
1947,Bouquet Of Roses,Country/Bluegrass
1937,Bourgeois Blues,Blues
1969,Boxer The,Folk/Roots
1964,Boy From New York City The,R & B/Soul
1986,Boy In The Bubble The,Rock/Pop
1968,Boy Named Sue A,Country/Bluegrass
1984,Boys Of Summer The,Rock/Pop
1987,Boyz-N-The-Hood,Hip-Hop
1990,Brainstorm On The U. D. S.,Rock/Pop
1988,Brand New Funk,Hip-Hop
1991,Brand New Man,Country/Bluegrass
1970,Brand New Tennessee Waltz,Folk/Roots
1979,Brass In Pocket (I'm Special),Rock/Pop
1986,Brass Monkey,Hip-Hop
1996,Braver Newer World,Country/Bluegrass
1942,Brazil,Swing
1967,Break On Through To The Other Side,Rock/Pop
1962,Breaking Up Is Hard To Do,Rock/Pop
1980,Breaks The,Hip-Hop
1958,Breathless,Rock/Pop
1977,Bredda Gravalicious,Reggae
1926,Breezin' Along With The Breeze,Musical/Film
1992,Brenda's Got A Baby,Hip-Hop
1987,Bridge Is Over The,Hip-Hop
1970,Bridge Over Troubled Water,Rock/Pop
1986,Bridge The,Hip-Hop
1961,Bright Lights Big City,Blues
1973,Bright Moments,Jazz
1979,Bright Side Of The Road,R & B/Soul
1956,Brilliant Corners,Jazz
1986,Brilliant Mistake,Rock/Pop
1997,Brimful Of Asha,Dance/Electronica
1995,Bring In Da Noise Bring In Da Funk,Musical/Film
1962,Bring It On Home To Me,R & B/Soul
1987,Bring Me Some Water,Folk/Roots
1988,Bring The Noise,Hip-Hop
1994,Bring The Pain,Hip-Hop
1985,Bring Your Fine Self Home,Blues
1961,Bristol Stomp The,Rock/Pop
1929,Broadway Melody The,Musical/Film
1959,Broken Hearted Melody,Jazz
1994,Brooklyn Took It,Hip-Hop
1995,Brooklyn Zoo,Hip-Hop
1996,Brooklyn's Finest,Hip-Hop
1932,Brother Can You Spare A Dime?,Folk/Roots
1997,Brown Paper Bag,Dance/Electronica
1967,Brown Shoes Don't Make It,Rock/Pop
1997,Brown Skin Lady,Hip-Hop
1971,Brown Sugar,Rock/Pop
1995,Brown Sugar,R & B/Soul
1967,Brown-Eyed Girl,Rock/Pop
1956,Brown-Eyed Handsome Man,Rock/Pop
1933,Brown's Ferry Blues,Country/Bluegrass
1931,Brownsville Blues,Blues
1948,Brush Up Your Shakespeare,Musical/Film
1997,Bud Powell,Jazz
1938,Buddy Bolden's Blues,Jazz
1939,Buffalo Skinners,Folk/Roots
1995,Bug Powder Dust,Dance/Electronica
1961,Bugs Bunny Theme (This Is It!),Musical/Film
1997,Building Tension In 2 Dimensions,Dance/Electronica
1966,Built For Comfort,Blues
1992,Bullet In The Head,Rock/Pop
1929,Bumble Bee Blues,Blues
1964,Bumpin',Jazz
1917,Bungalow In Quogue,Musical/Film
1975,Burn,Folk/Roots
1997,Burn In Hell,Blues
1983,Burning Down The House,Rock/Pop
1999,Busa Rhyme,Hip-Hop
1950,Bushel And A Peck A,Musical/Film
1989,Bust A Move,Hip-Hop
1997,Busy Child,Dance/Electronica
1947,But Beautiful,Jazz
1930,But Not For Me,Jazz
1928,Button Up Your Overcoat,Jazz
1948,Buttons And Bows,Country/Bluegrass
1984,Buy Out The Bar,Reggae
1909,By The Light Of The Silvery Moon,Musical/Film
1967,By The Time I Get To Phoenix,Country/Bluegrass
1998,Bye Bye,R & B/Soul
1926,Bye Bye Blackbird,Jazz
1930,Bye Bye Blues,Jazz
1957,Bye Bye Love,Rock/Pop
1993,C.R.E.A.M.,Hip-Hop
1966,Cabaret,Musical/Film
1940,Cabin In The Sky,Jazz
1945,Caldonia (What Makes Your Big Head So Hard?),Jazz
1971,California,Rock/Pop
1965,California Dreaming,Rock/Pop
1965,California Girls,Rock/Pop
1996,California Love,Hip-Hop
1979,California Uber Alles,Rock/Pop
1924,California Here I Come,Musical/Film
1999,Californication,Rock/Pop
1967,Call Any Vegetable,Rock/Pop
1980,Call Me,Dance/Electronica
1973,Call Me (Come Back Home),R & B/Soul
1963,Call Me Irresponsible,Jazz
1993,Calling All Angels,Folk/Roots
1948,Calling You,Gospel
1986,Calling You,Jazz
1980,Calypso,Jazz
1973,Camarillo Brillo,Rock/Pop
1979,Came So Far For Beauty,Rock/Pop
1960,Camelot,Musical/Film
1984,Can You Feel It,Dance/Electronica
1985,Can Your Pussy Do The Dog?,Rock/Pop
1967,Canadian Railroad Trilogy,Folk/Roots
1956,Canadian Sunset,Jazz
1964,Canadiana Suite,Jazz
1992,Candy Everybody Wants,Rock/Pop
1928,Candy Man Blues,Blues
1928,Canned Heat Blues,Blues
1928,Cannon Ball Blues,Blues
1937,Cannon Ball Blues,Country/Bluegrass
1993,Cannonball,Rock/Pop
1964,Can't Buy Me Love,Rock/Pop
1974,Can't Get Enough Of Your Love Babe,R & B/Soul
1961,Can't Help Falling In Love,Musical/Film
1927,Can't Help Lovin' Dat Man,Jazz
1996,Can't Knock The Hustle,Hip-Hop
1991,Can't Truss It,Hip-Hop
1929,Can't We Be Friends?,Jazz
1964,Cantaloupe Island,Jazz
1989,Cappuccino,Hip-Hop
1976,Car Wash,Dance/Electronica
1998,Car Wheels On A Gravel Road,Folk/Roots
1937,Caravan,Swing
1974,Carefree Highway,Folk/Roots
1921,Careless Love (aka Loveless Love; aka Blues Oh Blues),Blues
1971,Carey,Rock/Pop
1933,Carioca,Jazz
1995,Carnival,Rock/Pop
1986,Carnivalito,Jazz
1922,Carolina In The Morning,Musical/Film
1997,Carrot Juice Is Murder,Folk/Roots
1970,Carry On,Rock/Pop
1999,Carte Blanche,Dance/Electronica
1943,Casbah,Jazz
1971,Case Of You A,Rock/Pop
1900,Casey Jones,Folk/Roots
1914,Castle Walk,Ragtime
1967,Castles Made Of Sand,Rock/Pop
1957,Catch A Falling Star,Musical/Film
1965,Catch The Wind,Rock/Pop
1941,Catfish Blues (aka Rollin' Stone or Rolling Stone),Blues
1992,Cathedral In A Suitcase,Jazz
1979,Catholic Girls,Rock/Pop
1960,Cathy's Clown,Rock/Pop
1974,Cat's In The Cradle,Folk/Roots
1960,Cattle Call,Country/Bluegrass
1970,Cecilia,Rock/Pop
1999,Celebration Suite,Jazz
1995,Cell Therapy,Hip-Hop
1982,Celtic Ray,R & B/Soul
1956,Chain Gang,R & B/Soul
1967,Chain Of Fools,R & B/Soul
1962,Chains,R & B/Soul
1951,Chains Of Love,R & B/Soul
1985,Chair The,Country/Bluegrass
1971,Chameleon,Jazz
1995,Champagne Supernova,Rock/Pop
1995,Champion,Reggae
1993,Chan Chan,Folk/Roots
1963,Change Is Gonna Come A,R & B/Soul
1938,Change Partners,Jazz
1988,Changed The Locks,Folk/Roots
1979,Changeling,Rock/Pop
1966,Changes,Folk/Roots
1971,Changes,Rock/Pop
1995,Changes,Hip-Hop
1972,Chant Down Babylon,Reggae
1958,Chantilly Lace,Rock/Pop
1964,Chapel Of Love,R & B/Soul
1963,Charade,Musical/Film
1981,Chariots Of Fire Theme,Musical/Film
1923,Charleston,Jazz
1959,Charlie Brown,R & B/Soul
1992,Chattahoochee,Country/Bluegrass
1941,Chattanooga Choo Choo,Swing
1949,Chattanoogie Shoe Shine Boy,Jazz
1991,Check The Rhime,Hip-Hop
1935,Cheek To Cheek,Jazz
1962,Cheese Cake,Jazz
1952,Chelsea Bridge,Jazz
1974,Chelsea Hotel #2,Rock/Pop
1969,Chelsea Morning,Folk/Roots
1968,Chest Fever,Rock/Pop
1922,Chicago (That Toddlin' Town),Jazz
1988,Children's Story,Hip-Hop
1963,Chim Chim Cher-ee,Musical/Film
1977,China Girl,Rock/Pop
1969,China Pig,Blues
1977,Chinese Rocks,Rock/Pop
1979,Chiquitita,Dance/Electronica
1988,Chiseled In Stone,Country/Bluegrass
1975,Chocolate City,R & B/Soul
1945,Choo Choo Ch'Boogie,Blues
1995,Christmas At The Zoo,Rock/Pop
1978,Christmas Card From A Hooker In Minneapolis,Jazz
1929,Christopher Robin At Buckingham Palace,Musical/Film
1964,Chug-A-Lug,Country/Bluegrass
1929,Church In The Wildwood,Gospel
1994,Cigarettes And Alcohol,Rock/Pop
1969,Cinnamon Girl,Rock/Pop
1967,Circle Game The,Folk/Roots
1992,Circumstances,Blues
1986,Cities In Dust,Rock/Pop
1991,Citizen Tain,Jazz
1992,City Beat,Jazz
1970,City Of New Orleans,Folk/Roots
1905,Clair De Lune,Classical/ Contemporary
1975,Clang Of The Yankee Reaper,Rock/Pop
1985,Clap Hands,Folk/Roots
1968,Classical Gas,Rock/Pop
1997,Clean Up Man,Hip-Hop
1982,Cleaning Windows,R & B/Soul
1999,Clear Tha Set,Hip-Hop
1917,Cleopatterer,Musical/Film
1914,Climax Rag,Ragtime
1959,Climb Ev'ry Mountain,Musical/Film
1994,Closer,Rock/Pop
1989,Closer To Fine,Folk/Roots
1992,Closing Time,Rock/Pop
1994,Clown,Rock/Pop
1989,C'mon Babe,Hip-Hop
1959,C'mon Everybody,Rock/Pop
1971,Coal Miner's Daughter,Country/Bluegrass
1971,Coat Of Many Colors,Country/Bluegrass
1999,Coattails Of A Dead Man,Rock/Pop
1994,Coax Me,Rock/Pop
1976,Cocaine,Rock/Pop
1977,Cocaine In My Brain,Reggae
1934,Cocktails For Two,Jazz
1999,Coffee & TV,Rock/Pop
1972,Cold Blue Steel And Sweet Fire,Rock/Pop
