ano,musica,tipo
1963,Abilene,Country/Bluegrass
1961,Above And Beyond (The Call Of Love),Country/Bluegrass
1939,AC/DC Current,Jazz
1975,Acadian Driftwood,Folk/Roots
1944,Ac-Cent-Tchu-Ate The Positive,Swing
1993,Accident In Paradise An,Dance/Electronica
1980,Ace Of Spades,Rock/Pop
1986,Acid Tracks,Dance/Electronica
1991,Acperience,Dance/Electronica
1995,Acquiesce,Rock/Pop
1968,Across The Universe,Rock/Pop
1963,Act Naturally,Country/Bluegrass
1998,Action Satisfaction,Hip-Hop
1985,Addicted To Love,R & B/Soul
1982,Adventures Of Grandmaster Flash On The Wheels Of Steel The,Hip-Hop
1975,Africa,Reggae
1994,Afro Puffs,Hip-Hop
1940,After Hours,Blues
1969,After Hours,Rock/Pop
1965,After Midnight,Rock/Pop
1970,After The Gold Rush,Rock/Pop
1918,After You've Gone,Blues
1993,Aftermath,Dance/Electronica
1984,Against All Odds (Take A Look At Me Now),Rock/Pop
1959,Agua De Beber (Water To Drink),Jazz
1910,Ah! Sweet Mystery Of Life,Musical/Film
1996,Ahead By A Century,Rock/Pop
1955,Ain't It A Shame (aka Ain't That A Shame),R & B/Soul
1978,Ain't Life A Brook,Folk/Roots
1929,Ain't Misbehavin',Jazz
1988,Ain't No Cure For Love,Rock/Pop
1988,Ain't No Half Steppin',Hip-Hop
1967,Ain't No Mountain High Enough,R & B/Soul
1971,Ain't No Sunshine (When She's Gone),R & B/Soul
1984,Ain't Nobody,R & B/Soul
1947,Ain't Nobody Here But Us Chickens,Jazz
1986,Ain't Nothin' Goin On But The Rent,R & B/Soul
1927,Ain't She Sweet,Jazz
1978,Ain't Talkin' 'Bout Love,Rock/Pop
1945,Ain't That Just Like A Woman,Blues
1993,Ain't That Lonely Yet,Country/Bluegrass
1965,Ain't That Peculiar,R & B/Soul
1966,Ain't Too Proud To Beg,R & B/Soul
1920,Ain't We Got Fun,Musical/Film
1999,Air,Dance/Electronica
1940,Air Mail Special,Swing
1964,Al Capone,Reggae
1972,Alabama,Rock/Pop
1915,Alabama Jubilee,Musical/Film
1928,Alabama Song (Whisky Bar),Musical/Film
1925,Alabamy Bound,Musical/Film
1971,Albert Flasher,Rock/Pop
1983,Alberta's Child,Country/Bluegrass
1911,Alexander's Ragtime Band,Jazz
1966,Alfie,Musical/Film
1919,Alice Blue Gown,Musical/Film
1967,Alice's Restaurant Massacree,Folk/Roots
1974,Alifib/Alfie,Rock/Pop
1977,Alison,Rock/Pop
1991,Alive,Rock/Pop
1924,All Alone,Musical/Film
1968,All Along The Watchtower,Rock/Pop
1993,All Apologies,Rock/Pop
1977,All Around The World,Rock/Pop
1989,All Around The World,R & B/Soul
1955,All Around The World (aka Grits Ain't Groceries),R & B/Soul
1959,All Blues,Jazz
1976,All By Myself,Rock/Pop
1964,All Day And All Of The Night,Rock/Pop
1934,All I Do Is Dream Of You,Musical/Film
1971,All I Have Is Love,Reggae
1958,All I Have To Do Is Dream,Country/Bluegrass
1964,All I Really Want To Do,Folk/Roots
1993,All I Wanna Do,Rock/Pop
1971,All I Want,Rock/Pop
1986,All My Ex's Live In Texas,Country/Bluegrass
1949,All Night Long,Blues
1931,All Of Me,Jazz
1940,All Or Nothing At All,Jazz
1970,All Right Now,Rock/Pop
1957,All Shook Up,Rock/Pop
1999,All That I Can Say,R & B/Soul
1991,All The Best,Folk/Roots
1979,All The Gold In California,Country/Bluegrass
1975,All The Lovely Ladies,Folk/Roots
1939,All The Things You Are,Jazz
1957,All The Way,Jazz
1972,All The Young Dudes,Rock/Pop
1979,All Things Dull And Ugly,Musical/Film
1967,All Tomorrow's Parties,Rock/Pop
1967,All You Need Is Love,Rock/Pop
1957,All Your Love,Blues
1957,All Your Love (I Miss Loving),Blues
1972,Almost Independence Day,R & B/Soul
1966,Almost Persuaded,Country/Bluegrass
1951,Alone And Forsaken,Country/Bluegrass
1954,Along Came Betty,Jazz
1995,Alright,Rock/Pop
1955,Alright Okay You Win,Jazz
1925,Always,Jazz
1995,Always Be My Baby,R & B/Soul
1950,Always Late (With Your Kisses),Country/Bluegrass
1979,Always Look On The Bright Side Of Life,Musical/Film
1971,Always On My Mind,Country/Bluegrass
1993,Always Say Goodbye,Jazz
1964,Always Something There To Remind Me,Rock/Pop
1929,Am I Blue?,Jazz
1973,Amanda,Country/Bluegrass
1972,Amarillo By Morning,Country/Bluegrass
1976,Amelia,Rock/Pop
1968,America,Folk/Roots
1986,America Without Tears,Rock/Pop
1976,American Girl,Rock/Pop
1929,American In Paris An,Jazz
1971,American Pie,Rock/Pop
1973,American Tune,Rock/Pop
1970,American Woman,Rock/Pop
1990,AmeriKKKa's Most Wanted,Hip-Hop
1927,Among My Souvenirs,Musical/Film
1967,Amsterdam,Musical/Film
1977,Anarchy In The UK,Rock/Pop
1992,Anasthasia,Dance/Electronica
1988,Anchorage,Folk/Roots
1906,Anchors Aweigh,Musical/Film
1975,And All That Jazz,Musical/Film
1943,And Her Tears Flowed Like Wine,Swing
1994,And If Venice Is Sinking,Folk/Roots
1945,And The Angels Swing,Jazz
1976,And The Band Played Waltzing Matilda,Folk/Roots
1912,And The Green Grass Grew All Around,Musical/Film
1966,And When I Die,Rock/Pop
1984,Androgynous,Rock/Pop
1997,Angel,Rock/Pop
1953,Angel Eyes,Jazz
1980,Angel Flying Too Close To The Ground,Country/Bluegrass
1971,Angel From Montgomery,Folk/Roots
1998,Angel In Manhattan,Folk/Roots
1952,Angel Of Death The,Gospel
1967,Angel Of The Morning,Country/Bluegrass
1997,Angels,Rock/Pop
1963,Angi,Folk/Roots
1973,Angie,Rock/Pop
1946,Anniversary Song The,Musical/Film
1993,Anniversary Song The,Rock/Pop
1979,Another Brick In The Wall (Part 2),Rock/Pop
1980,Another One Bites The Dust,Dance/Electronica
1993,Another Sad Love Song,R & B/Soul
1963,Another Saturday Night,R & B/Soul
1999,Another World,Dance/Electronica
1954,Answer Me My Love,Jazz
1997,Answering Machine,Dance/Electronica
1992,Anthem,Rock/Pop
1945,Anthropology,Jazz
1932,Any Old Time,Country/Bluegrass
1937,Any Old Time,Jazz
1946,Any Place I Hang My Hat Is Home,Musical/Film
1948,Any Time,Musical/Film
1964,Anyone Who Had A Heart,R & B/Soul
1934,Anything Goes,Jazz
1946,Anything You Can Do,Musical/Film
1960,Apache,Rock/Pop
1982,Apache,Hip-Hop
1997,Appletree,R & B/Soul
1998,April Fools,Rock/Pop
1932,April In Paris,Jazz
1927,April Kisses,Jazz
1921,April Showers,Musical/Film
1978,Aqua Boogie (A Psychoalphadisco-betabioaquadoloop),R & B/Soul
1968,Aquarius,Musical/Film
1998,Aquemini,Hip-Hop
1993,Are You Gonna Go My Way?,Rock/Pop
1925,Are You Lonesome Tonight?,Musical/Film
1927,Arkansas Road Blues,Blues
1997,Around The World,Dance/Electronica
1941,Artistry In Rhythm,Swing
1989,As Soon As I Find My Shoes I'm Gone,Folk/Roots
1966,As Tears Go By,Rock/Pop
1999,As The World Turns,Hip-Hop
1967,As The Years Go Passing By,Blues
1931,As Time Goes By,Musical/Film
1996,Ascension (Don't Ever Wonder),R & B/Soul
1976,Ask The Angels,Rock/Pop
1968,Astral Weeks,R & B/Soul
1967,Astronomy Domine,Rock/Pop
1942,At Last,Jazz
1993,At Les,Dance/Electronica
1975,At Seventeen,Rock/Pop
1970,At The Chime Of A City Clock,Folk/Roots
1938,A-Tisket A-Tasket,Jazz
1982,Atomic Dog,R & B/Soul
1997,Atomic Moog,Dance/Electronica
1972,Attica Blues,Jazz
1956,Auctioneer The,Country/Bluegrass
1915,Auf Wiedersehn,Musical/Film
1997,Aural Prostitution,Dance/Electronica
1974,Autobahn,Dance/Electronica
1934,Autumn In New York,Jazz
1950,Autumn Leaves,Jazz
1920,Avalon,Jazz
1982,Avalon,Rock/Pop
1929,Avalon Blues,Blues
1998,Avon,Rock/Pop
1993,Award Tour,Hip-Hop
1928,Away Down In The Alley Blues,Blues
1955,Ay-te Te Fee,Folk/Roots
1971,Baba O'Riley,Rock/Pop
1927,Babbitt And The Bromide The,Musical/Film
1969,Babe I'm Gonna Leave You,Rock/Pop
1926,Baby Face,Musical/Film
1992,Baby Got Back,Hip-Hop
1964,Baby I Need Your Loving,R & B/Soul
1965,Baby I'm Yours,R & B/Soul
1964,Baby Love,R & B/Soul
1995,Baby Luv,Dance/Electronica
1935,Baby Please Don't Go,Blues
1985,Baby Wants To Ride,Dance/Electronica
1951,Baby What You Want Me To Do,Blues
1949,Baby It's Cold Outside,Jazz
1930,Baby Let Me Follow You Down,Blues
1965,Baby Scratch My Back,Blues
1999,Babylon,Rock/Pop
1991,Babylon Burning,Reggae
1975,Babylon Falling,Reggae
1960,Back At The Chicken Shack,Blues
1961,Back Door Man,Blues
1995,Back For Good,Rock/Pop
