Modelo,Valor,Local
7,700.0,MARACANAÚ HORTO
6S,700.0,FORTALEZA MANOEL SÁTIRO
8,700.0,FORTALEZA PARQUELÂNDIA
7,700.0,FORTALEZA PARQUE DOIS IRMÃOS
7,700.0,FORTALEZA JANGURUSSU
7,700.0,FORTALEZA BONSUCESSO
7,700.0,FORTALEZA MESSEJANA
6S PLUS,700.0,FORTALEZA CENTRO
7 PLUS,700.0,CAUCAIA PLANALTO CAUCAIA
7 PLUS,700.0,FORTALEZA VILA UNIÃO
7,700.0,FORTALEZA PARQUE DOIS IRMÃOS
7 PLUS,720.0,FORTALEZA AMADEU FURTADO
7 PLUS,749.0,FORTALEZA CAIS DO PORTO
7 PLUS,750.0,FORTALEZA NOVO MONDUBIM
7,750.0,FORTALEZA PARREÃO
7 PLUS,750.0,FORTALEZA CAIS DO PORTO
8,750.0,FORTALEZA GRANJA PORTUGAL
7,750.0,FORTALEZA ARACAPÉ
8,750.0,FORTALEZA VILA VELHA
7,750.0,EUSÉBIO TAMATANDUBA
8,750.0,FORTALEZA BARROSO
7,750.0,FORTALEZA JANGURUSSU
7 PLUS,750.0,PACATUBA SENADOR CARLOS JEREISSATI
7,750.0,FORTALEZA MESSEJANA
7,750.0,CAUCAIA CIGANA
7,750.0,MARACANAÚ PAJUÇARA
8,750.0,FORTALEZA CAJAZEIRAS
7 PLUS,750.0,FORTALEZA CENTRO
7 PLUS,750.0,FORTALEZA CAIS DO PORTO
7 PLUS,750.0,FORTALEZA CONJUNTO CEARÁ I
XR,750.0,FORTALEZA JANGURUSSU
7,750.0,FORTALEZA PASSARÉ
8,750.0,FORTALEZA ANTÔNIO BEZERRA
6,750.0,FORTALEZA JANGURUSSU
XR,750.0,FORTALEZA JANGURUSSU
8 PLUS,770.0,FORTALEZA SERRINHA
7 PLUS,780.0,FORTALEZA FÁTIMA
7,780.0,FORTALEZA PARQUE SÃO JOSÉ
7 PLUS,800.0,FORTALEZA ELLERY
7 PLUS,800.0,MARACANAÚ LUZARDO VIANA
7 PLUS,800.0,FORTALEZA PRAIA DE IRACEMA
8,800.0,CAUCAIA PARQUE ALBANO (JUREMA)
8,800.0,FORTALEZA MONDUBIM
8 PLUS,800.0,SÃO GONÇALO DO AMARANTE
8,800.0,FORTALEZA DIONISIO TORRES
8,800.0,FORTALEZA BARRA DO CEARÁ
7,800.0,FORTALEZA CRISTO REDENTOR
6,800.0,BATURITÉ CENTRO
8,800.0,AQUIRAZ
7 PLUS,800.0,PACATUBA SENADOR CARLOS JEREISSATI
8,800.0,FORTALEZA MONTESE
7,800.0,FORTALEZA PREFEITO JOSÉ WALTER
7 PLUS,800.0,FORTALEZA PANAMERICANO
8,800.0,FORTALEZA PARQUE SANTA ROSA
7 PLUS,800.0,FORTALEZA PRESIDENTE KENNEDY
8 PLUS,800.0,FORTALEZA CONJUNTO CEARÁ II
8,800.0,FORTALEZA ANTÔNIO BEZERRA
8,800.0,FORTALEZA VARJOTA
8,800.0,FORTALEZA PRESIDENTE KENNEDY
7,800.0,FORTALEZA ALTO DA BALANÇA
8,800.0,FORTALEZA PARQUELÂNDIA
SE,800.0,FORTALEZA BARRA DO CEARÁ
6S,800.0,FORTALEZA BARRA DO CEARÁ
7 PLUS,800.0,FORTALEZA VILA UNIÃO
7 PLUS,800.0,FORTALEZA DIONISIO TORRES
7,800.0,FORTALEZA PARREÃO
7,800.0,FORTALEZA CANINDEZINHO
7,800.0,FORTALEZA VILA VELHA
7 PLUS,800.0,MARACANAÚ INDUSTRIAL
8 PLUS,800.0,AQUIRAZ
8,840.0,FORTALEZA CARLITO PAMPLONA
8 PLUS,850.0,FORTALEZA BOA VISTA-CASTELÃO
8,850.0,MARACANAÚ NOVO MARACANAÚ
8,850.0,AQUIRAZ
7 PLUS,850.0,FORTALEZA VILA PERI
7 PLUS,850.0,FORTALEZA BONSUCESSO
7 PLUS,850.0,FORTALEZA CONJUNTO CEARÁ I
8,850.0,FORTALEZA ALDEOTA
8,850.0,FORTALEZA DAMAS
7,850.0,MARACANAÚ PAJUÇARA
7 PLUS,850.0,FORTALEZA PASSARÉ
8,850.0,FORTALEZA CONJUNTO CEARÁ I
8,850.0,FORTALEZA MEIRELES
8,850.0,FORTALEZA TAUAPE
8,850.0,FORTALEZA JARDIM GUANABARA
7 PLUS,870.0,FORTALEZA MONDUBIM
7 PLUS,870.0,FORTALEZA BARROSO
8,900.0,FORTALEZA JARDIM DAS OLIVEIRAS
7 PLUS,900.0,FORTALEZA MONDUBIM
7 PLUS,900.0,FORTALEZA JARDIM IRACEMA
8,900.0,CAUCAIA NOVA METRÓPOLE (JUREMA)
8,900.0,FORTALEZA PREFEITO JOSÉ WALTER
8,900.0,FORTALEZA ANCURI
7,900.0,CAUCAIA NOVA METRÓPOLE (JUREMA)
8,900.0,FORTALEZA BOM JARDIM
8,900.0,FORTALEZA PASSARÉ
8 PLUS,900.0,MARANGUAPE GUABIRABA
7,900.0,FORTALEZA ANTÔNIO BEZERRA
8 PLUS,900.0,FORTALEZA SERRINHA
8,900.0,FORTALEZA MANOEL SÁTIRO
8,900.0,SÃO GONÇALO DO AMARANTE
7 PLUS,900.0,FORTALEZA DOM LUSTOSA
8,900.0,FORTALEZA VILA VELHA
8,900.0,FORTALEZA MANOEL SÁTIRO
8,900.0,FORTALEZA ITAPERI
8 PLUS,900.0,CAUCAIA PARQUE SOLEDADE
8,900.0,MARACANAÚ JEREISSATI I
8,900.0,FORTALEZA PARQUE SANTA MARIA
7 PLUS,900.0,FORTALEZA MANOEL SÁTIRO
8,900.0,FORTALEZA GENIBAÚ
8 PLUS,900.0,FORTALEZA JARDIM GUANABARA
7 PLUS,900.0,FORTALEZA SIQUEIRA
7 PLUS,900.0,FORTALEZA SAPIRANGA-COITÉ
SE,900.0,FORTALEZA COCÓ
8,900.0,FORTALEZA BARRA DO CEARÁ
8,900.0,FORTALEZA MESSEJANA
7 PLUS,900.0,FORTALEZA CAIS DO PORTO
7 PLUS,900.0,FORTALEZA PARQUE SÃO JOSÉ
7 PLUS,900.0,PACATUBA SENADOR CARLOS JEREISSATI
8,900.0,FORTALEZA PASSARÉ
7 PLUS,900.0,CAUCAIA PARQUE ALBANO (JUREMA)
7 PLUS,900.0,FORTALEZA PAPICU
SE,900.0,FORTALEZA PASSARÉ
7,900.0,CAUCAIA
7 PLUS,950.0,MARANGUAPE NOVO PARQUE IRACEMA
7 PLUS,950.0,CAUCAIA NOVA METRÓPOLE (JUREMA)
8,950.0,FORTALEZA MONTESE
7 PLUS,950.0,FORTALEZA MONDUBIM
7 PLUS,950.0,FORTALEZA PEDRAS
8,950.0,FORTALEZA DOM LUSTOSA
7 PLUS,950.0,FORTALEZA QUINTINO CUNHA
8,950.0,FORTALEZA VILA VELHA
7 PLUS,950.0,MARACANAÚ NOVO MARACANAÚ
8,950.0,FORTALEZA BOM JARDIM
8,950.0,CAUCAIA CIGANA
8,950.0,FORTALEZA ELLERY
8,950.0,FORTALEZA ALDEOTA
8,950.0,FORTALEZA FÁTIMA
8,950.0,FORTALEZA SIQUEIRA
7,980.0,FORTALEZA CIDADE DOS FUNCIONÁRIOS
7,980.0,FORTALEZA CIDADE DOS FUNCIONÁRIOS
8,980.0,FORTALEZA PLANALTO AYRTON SENNA
7 PLUS,999.0,FORTALEZA CONJUNTO PALMEIRAS
8 PLUS,999.0,FORTALEZA VICENTE PINZON
7,999.0,FORTALEZA MANUEL DIAS BRANCO
6,999.0,FORTALEZA CURIÓ
7 PLUS,999.0,FORTALEZA PICI
7 PLUS,1000.0,FORTALEZA BONSUCESSO
7,1000.0,CAUCAIA NOVA METRÓPOLE (JUREMA)
SE,1000.0,FORTALEZA MESSEJANA
7 PLUS,1000.0,FORTALEZA JÓQUEI CLUBE
7 PLUS,1000.0,FORTALEZA LAGOA REDONDA
7 PLUS,1000.0,FORTALEZA MONTE CASTELO
7,1000.0,FORTALEZA PARQUE MANIBURA
8,1000.0,FORTALEZA EDSON QUEIROZ
8,1000.0,FORTALEZA FARIAS BRITO
8,1000.0,CAUCAIA PARQUE DAS NAÇÕES (JUREMA)
7 PLUS,1000.0,FORTALEZA GENIBAÚ
8,1000.0,FORTALEZA GRANJA LISBOA
8,1000.0,FORTALEZA BONSUCESSO
7 PLUS,1000.0,FORTALEZA VILA VELHA
X,1000.0,FORTALEZA PARQUE SANTA MARIA
8,1000.0,FORTALEZA CENTRO
7 PLUS,1000.0,FORTALEZA ENGENHEIRO LUCIANO CAVALCANTE
7,1000.0,FORTALEZA ALDEOTA
X,1000.0,CAUCAIA PARQUE POTIRA (JUREMA)
7 PLUS,1000.0,FORTALEZA FÁTIMA
8 PLUS,1000.0,FORTALEZA GENIBAÚ
7 PLUS,1000.0,MARACANAÚ SIQUEIRA
8 PLUS,1000.0,FORTALEZA BOA VISTA-CASTELÃO
8,1000.0,FORTALEZA COCÓ
8,1000.0,FORTALEZA CIDADE 2000
7 PLUS,1000.0,PENTECOSTE
8,1000.0,AQUIRAZ
8,1000.0,FORTALEZA ÁLVARO WEYNE
7 PLUS,1000.0,FORTALEZA AUTRAN NUNES
SE,1000.0,FORTALEZA BONSUCESSO
7 PLUS,1000.0,MARACANAÚ ACARACUZINHO
8 PLUS,1000.0,FORTALEZA LAGOA REDONDA
7,1000.0,FORTALEZA CONJUNTO CEARÁ II
X,1000.0,FORTALEZA ALTO DA BALANÇA
7 PLUS,1000.0,FORTALEZA ENGENHEIRO LUCIANO CAVALCANTE
7 PLUS,1000.0,FORTALEZA JOSÉ BONIFÁCIO
7,1000.0,FORTALEZA PARQUE MANIBURA
7 PLUS,1000.0,FORTALEZA CIDADE 2000
7 PLUS,1000.0,FORTALEZA PARANGABA
7 PLUS,1000.0,CAUCAIA PADRE JULIO MARIA
8 PLUS,1000.0,FORTALEZA GRANJA PORTUGAL
7 PLUS,1000.0,PACATUBA PAVUNA
8,1000.0,FORTALEZA SÃO BENTO
8 PLUS,1000.0,FORTALEZA PIRAMBU
7 PLUS,1000.0,EUSÉBIO COAÇU
7 PLUS,1000.0,FORTALEZA JOAQUIM TÁVORA
7 PLUS,1050.0,FORTALEZA CONJUNTO PALMEIRAS
8 PLUS,1050.0,FORTALEZA PARANGABA
