Modelo,Valor,Local,Ano
7,680.0,FORTALEZA CENTRO,2016.0
7,680.0,FORTALEZA BOM FUTURO,2016.0
7,700.0,FORTALEZA RODOLFO TEÓFILO,2016.0
7,700.0,FORTALEZA PASSARÉ,2016.0
X,700.0,FORTALEZA CARLITO PAMPLONA,2017.0
7,700.0,FORTALEZA CENTRO,2016.0
8,700.0,FORTALEZA CAJAZEIRAS,2017.0
7,700.0,FORTALEZA JACARECANGA,2016.0
7,700.0,MARACANAÚ ACARACUZINHO,2016.0
7,700.0,FORTALEZA ALDEOTA,2016.0
7P,700.0,MARACANAÚ JEREISSATI I,2016.0
6,700.0,FORTALEZA JARDIM DAS OLIVEIRAS,2014.0
7,700.0,FORTALEZA SIQUEIRA,2016.0
7,700.0,FORTALEZA MOURA BRASIL,2016.0
7,700.0,FORTALEZA JARDIM CEARENSE,2016.0
7,700.0,AQUIRAZ,2016.0
7P,700.0,FORTALEZA AUTRAN NUNES,2016.0
7,700.0,MARACANAÚ ACARACUZINHO,2016.0
7,700.0,FORTALEZA CRISTO REDENTOR,2016.0
7,700.0,FORTALEZA DEMÓCRITO ROCHA,2016.0
7,700.0,MARACANAÚ HORTO,2016.0
6S,700.0,FORTALEZA MANOEL SÁTIRO,2015.0
8,700.0,FORTALEZA PARQUELÂNDIA,2017.0
7,700.0,FORTALEZA PARQUE DOIS IRMÃOS,2016.0
7,700.0,FORTALEZA JANGURUSSU,2016.0
7,700.0,FORTALEZA BONSUCESSO,2016.0
7,700.0,FORTALEZA MESSEJANA,2016.0
6SP,700.0,FORTALEZA CENTRO,2015.0
7P,700.0,CAUCAIA PLANALTO CAUCAIA,2016.0
7P,700.0,FORTALEZA VILA UNIÃO,2016.0
7,700.0,FORTALEZA PARQUE DOIS IRMÃOS,2016.0
7P,720.0,FORTALEZA AMADEU FURTADO,2016.0
7P,749.0,FORTALEZA CAIS DO PORTO,2016.0
7P,750.0,FORTALEZA NOVO MONDUBIM,2016.0
7,750.0,FORTALEZA PARREÃO,2016.0
7P,750.0,FORTALEZA CAIS DO PORTO,2016.0
8,750.0,FORTALEZA GRANJA PORTUGAL,2017.0
7,750.0,FORTALEZA ARACAPÉ,2016.0
8,750.0,FORTALEZA VILA VELHA,2017.0
7,750.0,EUSÉBIO TAMATANDUBA,2016.0
8,750.0,FORTALEZA BARROSO,2017.0
7,750.0,FORTALEZA JANGURUSSU,2016.0
7P,750.0,PACATUBA SENADOR CARLOS JEREISSATI,2016.0
7,750.0,FORTALEZA MESSEJANA,2016.0
7,750.0,CAUCAIA CIGANA,2016.0
7,750.0,MARACANAÚ PAJUÇARA,2016.0
8,750.0,FORTALEZA CAJAZEIRAS,2017.0
7P,750.0,FORTALEZA CENTRO,2016.0
7P,750.0,FORTALEZA CAIS DO PORTO,2016.0
7P,750.0,FORTALEZA CONJUNTO CEARÁ I,2016.0
XR,750.0,FORTALEZA JANGURUSSU,2018.0
7,750.0,FORTALEZA PASSARÉ,2016.0
8,750.0,FORTALEZA ANTÔNIO BEZERRA,2017.0
6,750.0,FORTALEZA JANGURUSSU,2014.0
XR,750.0,FORTALEZA JANGURUSSU,2018.0
8P,770.0,FORTALEZA SERRINHA,2017.0
7P,780.0,FORTALEZA FÁTIMA,2016.0
7,780.0,FORTALEZA PARQUE SÃO JOSÉ,2016.0
7P,800.0,FORTALEZA ELLERY,2016.0
7P,800.0,MARACANAÚ LUZARDO VIANA,2016.0
7P,800.0,FORTALEZA PRAIA DE IRACEMA,2016.0
8,800.0,CAUCAIA PARQUE ALBANO (JUREMA),2017.0
8,800.0,FORTALEZA MONDUBIM,2017.0
8P,800.0,SÃO GONÇALO DO AMARANTE,2017.0
8,800.0,FORTALEZA DIONISIO TORRES,2017.0
8,800.0,FORTALEZA BARRA DO CEARÁ,2017.0
7,800.0,FORTALEZA CRISTO REDENTOR,2016.0
6,800.0,BATURITÉ CENTRO,2014.0
8,800.0,AQUIRAZ,2017.0
7P,800.0,PACATUBA SENADOR CARLOS JEREISSATI,2016.0
8,800.0,FORTALEZA MONTESE,2017.0
7,800.0,FORTALEZA PREFEITO JOSÉ WALTER,2016.0
7P,800.0,FORTALEZA PANAMERICANO,2016.0
8,800.0,FORTALEZA PARQUE SANTA ROSA,2017.0
7P,800.0,FORTALEZA PRESIDENTE KENNEDY,2016.0
8P,800.0,FORTALEZA CONJUNTO CEARÁ II,2017.0
8,800.0,FORTALEZA ANTÔNIO BEZERRA,2017.0
8,800.0,FORTALEZA VARJOTA,2017.0
8,800.0,FORTALEZA PRESIDENTE KENNEDY,2017.0
7,800.0,FORTALEZA ALTO DA BALANÇA,2016.0
8,800.0,FORTALEZA PARQUELÂNDIA,2017.0
SE1,800.0,FORTALEZA BARRA DO CEARÁ,2016.0
6S,800.0,FORTALEZA BARRA DO CEARÁ,2015.0
7P,800.0,FORTALEZA VILA UNIÃO,2016.0
7P,800.0,FORTALEZA DIONISIO TORRES,2016.0
7,800.0,FORTALEZA PARREÃO,2016.0
7,800.0,FORTALEZA CANINDEZINHO,2016.0
7,800.0,FORTALEZA VILA VELHA,2016.0
7P,800.0,MARACANAÚ INDUSTRIAL,2016.0
8P,800.0,AQUIRAZ,2017.0
8,840.0,FORTALEZA CARLITO PAMPLONA,2017.0
8P,850.0,FORTALEZA BOA VISTA-CASTELÃO,2017.0
8,850.0,MARACANAÚ NOVO MARACANAÚ,2017.0
8,850.0,AQUIRAZ,2017.0
7P,850.0,FORTALEZA VILA PERI,2016.0
7P,850.0,FORTALEZA BONSUCESSO,2016.0
7P,850.0,FORTALEZA CONJUNTO CEARÁ I,2016.0
8,850.0,FORTALEZA ALDEOTA,2017.0
8,850.0,FORTALEZA DAMAS,2017.0
7,850.0,MARACANAÚ PAJUÇARA,2016.0
7P,850.0,FORTALEZA PASSARÉ,2016.0
8,850.0,FORTALEZA CONJUNTO CEARÁ I,2017.0
8,850.0,FORTALEZA MEIRELES,2017.0
8,850.0,FORTALEZA TAUAPE,2017.0
8,850.0,FORTALEZA JARDIM GUANABARA,2017.0
7P,870.0,FORTALEZA MONDUBIM,2016.0
7P,870.0,FORTALEZA BARROSO,2016.0
8,900.0,FORTALEZA JARDIM DAS OLIVEIRAS,2017.0
7P,900.0,FORTALEZA MONDUBIM,2016.0
7P,900.0,FORTALEZA JARDIM IRACEMA,2016.0
8,900.0,CAUCAIA NOVA METRÓPOLE (JUREMA),2017.0
8,900.0,FORTALEZA PREFEITO JOSÉ WALTER,2017.0
8,900.0,FORTALEZA ANCURI,2017.0
7,900.0,CAUCAIA NOVA METRÓPOLE (JUREMA),2016.0
8,900.0,FORTALEZA BOM JARDIM,2017.0
8,900.0,FORTALEZA PASSARÉ,2017.0
8P,900.0,MARANGUAPE GUABIRABA,2017.0
7,900.0,FORTALEZA ANTÔNIO BEZERRA,2016.0
8P,900.0,FORTALEZA SERRINHA,2017.0
8,900.0,FORTALEZA MANOEL SÁTIRO,2017.0
8,900.0,SÃO GONÇALO DO AMARANTE,2017.0
7P,900.0,FORTALEZA DOM LUSTOSA,2016.0
8,900.0,FORTALEZA VILA VELHA,2017.0
8,900.0,FORTALEZA MANOEL SÁTIRO,2017.0
8,900.0,FORTALEZA ITAPERI,2017.0
8P,900.0,CAUCAIA PARQUE SOLEDADE,2017.0
8,900.0,MARACANAÚ JEREISSATI I,2017.0
8,900.0,FORTALEZA PARQUE SANTA MARIA,2017.0
7P,900.0,FORTALEZA MANOEL SÁTIRO,2016.0
8,900.0,FORTALEZA GENIBAÚ,2017.0
8P,900.0,FORTALEZA JARDIM GUANABARA,2017.0
7P,900.0,FORTALEZA SIQUEIRA,2016.0
7P,900.0,FORTALEZA SAPIRANGA-COITÉ,2016.0
SE1,900.0,FORTALEZA COCÓ,2016.0
8,900.0,FORTALEZA BARRA DO CEARÁ,2017.0
8,900.0,FORTALEZA MESSEJANA,2017.0
7P,900.0,FORTALEZA CAIS DO PORTO,2016.0
7P,900.0,FORTALEZA PARQUE SÃO JOSÉ,2016.0
7P,900.0,PACATUBA SENADOR CARLOS JEREISSATI,2016.0
8,900.0,FORTALEZA PASSARÉ,2017.0
7P,900.0,CAUCAIA PARQUE ALBANO (JUREMA),2016.0
7P,900.0,FORTALEZA PAPICU,2016.0
SE1,900.0,FORTALEZA PASSARÉ,2016.0
7,900.0,CAUCAIA,2016.0
7P,950.0,MARANGUAPE NOVO PARQUE IRACEMA,2016.0
7P,950.0,CAUCAIA NOVA METRÓPOLE (JUREMA),2016.0
8,950.0,FORTALEZA MONTESE,2017.0
7P,950.0,FORTALEZA MONDUBIM,2016.0
